course,section,term,year,prereq_text,prereq_codes,prereq_unparseable,schedule,instructors,units
CHIN 190,D100,fall,2021,"This course is for students of Chinese origin who have native or near native speaking ability in Chinese (Mandarin or other dialects), but limited knowledge of written Chinese.",,False,"[{'days': 'Tu', 'startTime': '10:30', 'endTime': '12:20', 'campus': 'Burnaby'}]",Cynthia Xie,3
CMPT 105W,D100,fall,2021,,,False,"[{'days': 'Mo', 'startTime': '12:30', 'endTime': '14:20', 'campus': 'Burnaby'}, {'days': 'We', 'startTime': '12:30', 'endTime': '13:20', 'campus': 'Burnaby'}]",Jacqueline Nelsen,3
CMPT 105W,E100,fall,2021,,,False,"[{'days': 'Mo, We, Fr', 'startTime': '17:30', 'endTime': '18:20', 'campus': 'Surrey'}]",Milan Tofiloski,3
CMPT 120,D100,fall,2021,BC Math 12 or equivalent is recommended.,,False,"[{'days': 'Mo', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}, {'days': 'We', 'startTime': '14:30', 'endTime': '15:20', 'campus': 'Burnaby'}]",Victor Cheung,3
CMPT 120,D200,fall,2021,BC Math 12 or equivalent is recommended.,,False,"[{'days': 'Mo, We, Fr', 'startTime': '9:30', 'endTime': '10:20', 'campus': 'Burnaby'}]",Diana Cukierman,3
CMPT 120,D300,fall,2021,BC Math 12 or equivalent is recommended.,,False,"[{'days': 'Mo, We, Fr', 'startTime': '11:30', 'endTime': '12:20', 'campus': 'Burnaby'}]",Angelica Lim,3
CMPT 125,D100,fall,2021,CMPT 120 with a minimum grade of C-.,CMPT 120,False,"[{'days': 'Mo', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}, {'days': 'We', 'startTime': '14:30', 'endTime': '15:20', 'campus': 'Burnaby'}]",Igor Shinkar,3
CMPT 128,E100,fall,2021,"BC Math 12 (or equivalent, or any of MATH 100, 150, 151, 154, or 157, with a minimum grade of C-).",MATH 100,False,"[{'days': 'Mo, We', 'startTime': '17:30', 'endTime': '18:20', 'campus': 'Burnaby'}, {'days': 'Fr', 'startTime': '17:30', 'endTime': '18:20', 'campus': 'Burnaby'}]",Anne Lavergne,3
CMPT 130,D100,fall,2021,"BC Math 12 (or equivalent, or any of MATH 100, 150, 151, 154, or 157, with a minimum grade of C-).",MATH 100,False,"[{'days': 'Mo, We, Fr', 'startTime': '10:30', 'endTime': '11:20', 'campus': 'Surrey'}]",John Edgar,3
CMPT 213,D100,fall,2021,CMPT 225 with a minimum grade of C-.,CMPT 225,False,"[{'days': 'Tu', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}, {'days': 'Fr', 'startTime': '14:30', 'endTime': '15:20', 'campus': 'Burnaby'}]",Victor Cheung,3
CMPT 225,D100,fall,2021,"(MACM 101 and (CMPT 125, CMPT 129 or CMPT 135)) or (ENSC 251 and ENSC 252), all with a minimum grade of C-.",MACM 101;CMPT 125;CMPT 129;CMPT 135;ENSC 251;ENSC 252,False,"[{'days': 'Mo, We, Fr', 'startTime': '10:30', 'endTime': '11:20', 'campus': 'Burnaby'}]",David Mitchell,3
CMPT 225,D200,fall,2021,"(MACM 101 and (CMPT 125, CMPT 129 or CMPT 135)) or (ENSC 251 and ENSC 252), all with a minimum grade of C-.",MACM 101;CMPT 125;CMPT 129;CMPT 135;ENSC 251;ENSC 252,False,"[{'days': 'Mo, We, Fr', 'startTime': '10:30', 'endTime': '11:20', 'campus': 'Burnaby'}]",Thomas Shermer,3
CMPT 275,E100,fall,2021,"One W course, CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (MATH 151 or MATH 150), all with a minimum grade of C-. MATH 154 or MATH 157 with at least a B+ may be substituted for MATH 151 or MATH 150.",CMPT 225;MACM 101;ENSC 251;ENSC 252;MATH 151;MATH 150;MATH 154;MATH 157,False,"[{'days': 'Mo', 'startTime': '16:30', 'endTime': '19:20', 'campus': 'Burnaby'}]",,4
CMPT 276,D100,fall,2021,"One W course, CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (MATH 151 or MATH 150), all with a minimum grade of C-. MATH 154 or MATH 157 with at least a B+ may be substituted for MATH 151 or MATH 150.",CMPT 225;MACM 101;ENSC 251;ENSC 252;MATH 151;MATH 150;MATH 154;MATH 157,False,"[{'days': 'Mo', 'startTime': '8:30', 'endTime': '10:20', 'campus': 'Burnaby'}, {'days': 'We', 'startTime': '8:30', 'endTime': '9:20', 'campus': 'Burnaby'}]",Saba Alimadadi Jani,3
CMPT 276,D200,fall,2021,"One W course, CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (MATH 151 or MATH 150), all with a minimum grade of C-. MATH 154 or MATH 157 with at least a B+ may be substituted for MATH 151 or MATH 150.",CMPT 225;MACM 101;ENSC 251;ENSC 252;MATH 151;MATH 150;MATH 154;MATH 157,False,"[{'days': 'Mo, We, Fr', 'startTime': '10:30', 'endTime': '11:20', 'campus': 'Surrey'}]",Brian Fraser,3
CMPT 295,D100,fall,2021,"Either (MACM 101 and (CMPT 125 or CMPT 135)) or (MATH 151 and CMPT 102 for students in an Applied Physics program), all with a minimum grade of C-.",MACM 101;CMPT 125;CMPT 135;MATH 151;CMPT 102,False,"[{'days': 'Mo, We, Fr', 'startTime': '9:30', 'endTime': '10:20', 'campus': 'Burnaby'}]",Anne Lavergne,3
CMPT 295,D200,fall,2021,"Either (MACM 101 and (CMPT 125 or CMPT 135)) or (MATH 151 and CMPT 102 for students in an Applied Physics program), all with a minimum grade of C-.",MACM 101;CMPT 125;CMPT 135;MATH 151;CMPT 102,False,"[{'days': 'Mo', 'startTime': '8:30', 'endTime': '9:20', 'campus': 'Surrey'}, {'days': 'Th', 'startTime': '8:30', 'endTime': '10:20', 'campus': 'Surrey'}]",Arrvindh Shriraman,3
CMPT 300,D100,fall,2021,"CMPT 225 and (CMPT 295 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.",CMPT 225;CMPT 295;ENSC 251;ENSC 252,False,"[{'days': 'Mo, We, Fr', 'startTime': '11:30', 'endTime': '12:20', 'campus': 'Surrey'}]",Harinder Khangura,3
CMPT 300,D200,fall,2021,"CMPT 225 and (CMPT 295 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.",CMPT 225;CMPT 295;ENSC 251;ENSC 252,False,"[{'days': 'Tu', 'startTime': '10:30', 'endTime': '12:20', 'campus': 'Burnaby'}, {'days': 'Fr', 'startTime': '10:30', 'endTime': '11:20', 'campus': 'Burnaby'}]",Janice Regan,3
CMPT 307,D100,fall,2021,"CMPT 225, MACM 201, (MATH 150 or MATH 151), and (MATH 232 or MATH 240), all with a minimum grade of C-. MATH 154 or MATH 157 with a grade of at least B+ may be substituted for MATH 150 or MATH 151.",CMPT 225;MACM 201;MATH 150;MATH 151;MATH 232;MATH 240;MATH 154;MATH 157,False,"[{'days': 'Mo, We, Fr', 'startTime': '13:30', 'endTime': '14:20', 'campus': 'Burnaby'}]",David Mitchell,3
CMPT 307,D200,fall,2021,"CMPT 225, MACM 201, (MATH 150 or MATH 151), and (MATH 232 or MATH 240), all with a minimum grade of C-. MATH 154 or MATH 157 with a grade of at least B+ may be substituted for MATH 150 or MATH 151.",CMPT 225;MACM 201;MATH 150;MATH 151;MATH 232;MATH 240;MATH 154;MATH 157,False,"[{'days': 'Mo, We, Fr', 'startTime': '15:30', 'endTime': '16:20', 'campus': 'Burnaby'}]",Thomas Shermer,3
CMPT 308,D100,fall,2021,MACM 201 with a minimum grade of C-.,MACM 201,False,"[{'days': 'Mo', 'startTime': '10:30', 'endTime': '12:20', 'campus': 'Burnaby'}, {'days': 'We', 'startTime': '10:30', 'endTime': '11:20', 'campus': 'Burnaby'}]",Valentine Kabanets,3
CMPT 310,D100,fall,2021,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.",CMPT 225;MACM 101;ENSC 251;ENSC 252,False,"[{'days': 'Mo', 'startTime': '12:30', 'endTime': '13:20', 'campus': 'Burnaby'}, {'days': 'Th', 'startTime': '12:30', 'endTime': '14:20', 'campus': 'Burnaby'}]",,3
CMPT 318,D100,fall,2021,CMPT 225 with a minimum grade of C-. Additional prerequisites to be determined by the instructor subject to approval by the undergraduate program chair.,CMPT 225,False,"[{'days': 'Tu', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}, {'days': 'Fr', 'startTime': '14:30', 'endTime': '15:20', 'campus': 'Burnaby'}]",Uwe Glaesser,3
CMPT 320,D100,fall,2021,A CMPT course with a minimum grade of C- and 45 units.,,False,"[{'days': 'Mo', 'startTime': '10:30', 'endTime': '12:20', 'campus': 'Burnaby'}, {'days': 'We', 'startTime': '10:30', 'endTime': '11:20', 'campus': 'Burnaby'}]",,3
CMPT 353,D100,fall,2021,"CMPT 225 and (STAT 101, STAT 270, ENSC 280, or MSE 210), with a minimum grade of C-.",CMPT 225;STAT 101;STAT 270;ENSC 280;MSE 210,False,"[{'days': 'Tu', 'startTime': '12:30', 'endTime': '14:20', 'campus': 'Burnaby'}, {'days': 'Fr', 'startTime': '12:30', 'endTime': '13:20', 'campus': 'Burnaby'}]",,3
CMPT 354,D100,fall,2021,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.",CMPT 225;MACM 101;ENSC 251;ENSC 252,False,"[{'days': 'Mo', 'startTime': '8:30', 'endTime': '9:20', 'campus': 'Burnaby'}, {'days': 'Th', 'startTime': '8:30', 'endTime': '10:20', 'campus': 'Burnaby'}]",Jian Pei,3
CMPT 354,D200,fall,2021,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.",CMPT 225;MACM 101;ENSC 251;ENSC 252,False,"[{'days': 'Mo, We, Fr', 'startTime': '12:30', 'endTime': '13:20', 'campus': 'Surrey'}]",John Edgar,3
CMPT 361,D100,fall,2021,"CMPT 225 and MATH 232 or 240, all with a minimum grade of C-.",CMPT 225;MATH 232,False,"[{'days': 'Mo', 'startTime': '14:30', 'endTime': '15:20', 'campus': 'Burnaby'}, {'days': 'Th', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}]",Manolis Savva;Yagiz Aksoy,3
CMPT 363,E100,fall,2021,CMPT 225 with a minimum grade of C-.,CMPT 225,False,"[{'days': 'Tu', 'startTime': '16:30', 'endTime': '17:20', 'campus': 'Burnaby'}, {'days': 'Th', 'startTime': '16:30', 'endTime': '18:20', 'campus': 'Burnaby'}]",,3
CMPT 363,E200,fall,2021,CMPT 225 with a minimum grade of C-.,CMPT 225,False,"[{'days': 'Tu', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}, {'days': 'Th', 'startTime': '14:30', 'endTime': '15:30', 'campus': 'Burnaby'}]",Paul Hibbitts,3
CMPT 371,E100,fall,2021,"CMPT 225 and (MATH 151 or MATH 150), with a minimum grade of C-. MATH 154 or MATH 157 with a grade of at least B+ may be substituted for MATH 151 (MATH 150).",CMPT 225;MATH 151;MATH 150;MATH 154;MATH 157,False,"[{'days': 'Mo, We, Fr', 'startTime': '16:30', 'endTime': '17:20', 'campus': 'Burnaby'}]",Janice Regan,3
CMPT 373,D100,fall,2021,"CMPT 276 or 275, with a minimum grade of C-.",CMPT 276,False,"[{'days': 'We, Fr', 'startTime': '14:30', 'endTime': '15:20', 'campus': 'Surrey'}]",Brian Fraser,3
CMPT 376W,D100,fall,2021,"CMPT 105W and (CMPT 275 or CMPT 276), with a minimum grade of C-.",CMPT 105W;CMPT 275;CMPT 276,False,"[{'days': 'Mo', 'startTime': '8:30', 'endTime': '10:20', 'campus': 'Burnaby'}, {'days': 'We', 'startTime': '8:30', 'endTime': '9:20', 'campus': 'Burnaby'}]",Jacqueline Nelsen,3
CMPT 379,D100,fall,2021,"MACM 201, (CMPT 295 or ENSC 215) and CMPT 225, all with a minimum grade of C-.",MACM 201;CMPT 295;ENSC 215;CMPT 225,False,"[{'days': 'Mo, We, Fr', 'startTime': '9:30', 'endTime': '10:20', 'campus': 'Burnaby'}]",Anoop Sarkar,3
CMPT 383,D100,fall,2021,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.",CMPT 225;MACM 101;ENSC 251;ENSC 252,False,"[{'days': 'Tu', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Surrey'}, {'days': 'Fr', 'startTime': '14:30', 'endTime': '15:20', 'campus': 'Surrey'}]",Toby Donaldson,3
