course,section,term,year,prereq_text,prereq_codes,prereq_unparseable,schedule,instructors,units
CMPT 105W,D100,summer,2021,,,False,"[{'days': 'Mo, We, Fr', 'startTime': '11:30', 'endTime': '12:20', 'campus': 'Burnaby'}]",Harinder Khangura,3
CMPT 115,D100,summer,2021,,,False,"[{'days': 'Mo', 'startTime': '15:30', 'endTime': '16:20', 'campus': 'Burnaby'}, {'days': 'Th', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}]",Diana Cukierman,3
CMPT 120,D100,summer,2021,BC Math 12 or equivalent is recommended.,,False,"[{'days': 'Mo, We, Fr', 'startTime': '9:30', 'endTime': '10:20', 'campus': 'Burnaby'}]",Diana Cukierman,3
CMPT 120,D200,summer,2021,BC Math 12 or equivalent is recommended.,,False,"[{'days': 'Mo, We, Fr', 'startTime': '12:30', 'endTime': '13:20', 'campus': 'Burnaby'}]",Diana Cukierman,3
CMPT 125,D100,summer,2021,CMPT 120 with a minimum grade of C-. Corequisite: CMPT 127.,CMPT 120;CMPT 127,False,"[{'days': 'Mo, We, Fr', 'startTime': '12:30', 'endTime': '13:20', 'campus': 'Burnaby'}]",John Edgar;Toby Donaldson,3
CMPT 127,D100,summer,2021,"CMPT 120 or CMPT 128 or CMPT 130, with a minimum grade of C-. Corequisite: CMPT 125.",CMPT 120;CMPT 128;CMPT 130;CMPT 125,False,"[{'days': 'Tu', 'startTime': '8:30', 'endTime': '11:20', 'campus': 'Burnaby'}]",Alice Yue,3
CMPT 127,D200,summer,2021,"CMPT 120 or CMPT 128 or CMPT 130, with a minimum grade of C-. Corequisite: CMPT 125.",CMPT 120;CMPT 128;CMPT 130;CMPT 125,False,"[{'days': 'Tu', 'startTime': '11:30', 'endTime': '14:20', 'campus': 'Burnaby'}]",Alice Yue,3
CMPT 127,D300,summer,2021,"CMPT 120 or CMPT 128 or CMPT 130, with a minimum grade of C-. Corequisite: CMPT 125.",CMPT 120;CMPT 128;CMPT 130;CMPT 125,False,"[{'days': 'Tu', 'startTime': '14:30', 'endTime': '17:20', 'campus': 'Burnaby'}]",Alice Yue,3
CMPT 213,D100,summer,2021,CMPT 225 with a minimum grade of C-.,CMPT 225,False,"[{'days': 'Mo', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}, {'days': 'We', 'startTime': '14:30', 'endTime': '15:20', 'campus': 'Burnaby'}]",Victor Cheung,3
CMPT 225,D100,summer,2021,"(MACM 101 and ((CMPT 125 and 127), CMPT 129 or CMPT 135)) or (ENSC 251 and ENSC 252), all with a minimum grade of C-.",MACM 101;CMPT 125;CMPT 129;CMPT 135;ENSC 251;ENSC 252,False,"[{'days': 'Mo, We, Fr', 'startTime': '9:30', 'endTime': '10:20', 'campus': 'Burnaby'}]",John Edgar,3
CMPT 276,D100,summer,2021,"One W course, CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (MATH 151 or MATH 150), all with a minimum grade of C-. MATH 154 or MATH 157 with at least a B+ may be substituted for MATH 151 or MATH 150.",CMPT 225;MACM 101;ENSC 251;ENSC 252;MATH 151;MATH 150;MATH 154;MATH 157,False,"[{'days': 'Mo, We, Fr', 'startTime': '13:30', 'endTime': '14:20', 'campus': 'Burnaby'}]",Bobby Chan,3
CMPT 276,D200,summer,2021,"One W course, CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (MATH 151 or MATH 150), all with a minimum grade of C-. MATH 154 or MATH 157 with at least a B+ may be substituted for MATH 151 or MATH 150.",CMPT 225;MACM 101;ENSC 251;ENSC 252;MATH 151;MATH 150;MATH 154;MATH 157,False,"[{'days': 'Mo, We, Fr', 'startTime': '13:30', 'endTime': '14:20', 'campus': 'Burnaby'}]",Herbert Tsang,3
CMPT 295,D100,summer,2021,"Either (MACM 101 and ((CMPT 125 and CMPT 127) or CMPT 135)) or (MATH 151 and CMPT 102 for students in an Applied Physics program), all with a minimum grade of C-.",MACM 101;CMPT 125;CMPT 127;CMPT 135;MATH 151;CMPT 102,False,"[{'days': 'Mo', 'startTime': '12:30', 'endTime': '13:20', 'campus': 'Burnaby'}, {'days': 'Th', 'startTime': '12:30', 'endTime': '14:20', 'campus': 'Burnaby'}]",Arrvindh Shriraman,3
