Date,Faculty,Subject,CatNbr,Level,Credit,Course Title,Sect,Type,MaxEnrol,Location,ActEnrol,NonCoopAFTE,CoopAFTE,TotAFTE,SeatsRemaining,%CapRemaining,%Filled,Status,CrsFlag,LastSemTaught5Yrs,#SemTaught2Yrs
04-Jul,ARTS,ECON,436,400,3,Network Economics,D100,SEM,15,BURNABY,6,0.6,0.0,0.6,9,60%,40%,,REG,1224,1
04-Jul,ARTS,ECON,443,400,3,Seminar in International Trade,D100,SEM,15,BURNABY,1,0.1,0.0,0.1,14,93%,7%,,REG,1217,2
04-Jul,ARTS,ECON,450W,400,3,Quantitative Economic History,D100,SEM,15,BURNABY,2,0.2,0.0,0.2,13,87%,13%,,REG,1217,3
04-Jul,ARTS,ENGL,112W,100,3,Literature Now,C100,OLC,60,BURNABY,32,3.2,0.0,3.2,28,47%,53%,,REG,1224,6
04-Jul,ARTS,ENGL,113W,100,3,Literature and Performance,D100,LEC,184,BURNABY,21,2.1,0.0,2.1,163,89%,11%,,REG,1221,2
04-Jul,ARTS,ENGL,113W,100,3,Literature and Performance,D700,LEC,34,SURREY,2,0.2,0.0,0.2,32,94%,6%,,REG,1221,2
04-Jul,ARTS,ENGL,115W,100,3,Literature and Culture,D100,LEC,255,BURNABY,22,2.2,0.0,2.2,233,91%,9%,,REG,1224,6
04-Jul,ARTS,ENGL,199W,100,3,Writing to Persuade,C100,OLC,60,BURNABY,15,1.5,0.0,1.5,45,75%,25%,,REG,1224,6
04-Jul,ARTS,ENGL,199W,100,3,Writing to Persuade,E100,SEM,30,BURNABY,4,0.4,0.0,0.4,26,87%,13%,,REG,1224,6
04-Jul,ARTS,ENGL,209,200,3,"Race, Borders, Empire",D100,LEC,105,BURNABY,3,0.3,0.0,0.3,102,97%,3%,,REG,1221,2
04-Jul,ARTS,ENGL,211,200,3,Place of the Past,D100,LEC,60,BURNABY,3,0.3,0.0,0.3,57,95%,5%,,REG,1224,2
04-Jul,ARTS,ENGL,214,200,3,History/Principles of Rhetoric,D100,LEC,23,BURNABY,1,0.1,0.0,0.1,22,96%,4%,,REG,1217,2
04-Jul,ARTS,ENGL,216,200,3,Literary Criticism,D100,SEM,23,BURNABY,2,0.2,0.0,0.2,21,91%,9%,,REG,1217,2
04-Jul,ARTS,ENGL,300,300,4,Old English,D100,SEM,30,BURNABY,7,0.9,0.0,0.9,23,77%,23%,,REG,1197,Not taught in last 2 yrs
04-Jul,ARTS,ENGL,312,300,4,Shakespeare and the Stage,D100,LEC,69,BURNABY,4,0.5,0.0,0.5,65,94%,6%,,REG,1221,2
04-Jul,ARTS,ENGL,320,300,4,Long 18 C. & the Romantic Era,D100,SEM,30,BURNABY,6,0.8,0.0,0.8,24,80%,20%,,REG,1221,3
04-Jul,ARTS,ENGL,355,300,4,Canadian Literatures,C100,OLC,60,BURNABY,8,1.1,0.0,1.1,52,87%,13%,,REG,1224,3
04-Jul,ARTS,ENGL,374,300,4,Creative Writing II: Fiction,E100,LEC,18,BURNABY,7,0.9,0.0,0.9,11,61%,39%,,REG,1221,3
04-Jul,ARTS,ENGL,383,300,4,Popular Literature and Culture,E100,SEM,30,BURNABY,17,2.3,0.0,2.3,13,43%,57%,,REG,1217,2
04-Jul,ARTS,ENGL,385,300,4,"Across Time, Across Space",D100,SEM,30,BURNABY,9,1.2,0.0,1.2,21,70%,30%,,REG,1217,2
04-Jul,ARTS,ENGL,411W,400,4,Sem in Lit and Race,D100,SEM,18,BURNABY,5,0.7,0.0,0.7,13,72%,28%,,REG,Not taught in last 5 yrs,Not taught in last 2 yrs
04-Jul,ARTS,ENGL,414W,400,4,Sem in Lit and History,D100,SEM,18,BURNABY,1,0.1,0.0,0.1,17,94%,6%,,REG,1224,2
04-Jul,ARTS,ENGL,433W,400,4,Sem in British Literatures,E100,SEM,18,BURNABY,3,0.4,0.0,0.4,15,83%,17%,,REG,1221,1
04-Jul,ARTS,ENGL,472W,400,4,Sem. Advanced Creative Writing,E100,LEC,18,BURNABY,4,0.5,0.0,0.5,14,78%,22%,,REG,1221,4
04-Jul,ARTS,ENGL,475W,400,4,Seminar in Rhetoric,D100,SEM,18,BURNABY,4,0.5,0.0,0.5,14,78%,22%,,REG,1201,Not taught in last 2 yrs
04-Jul,ARTS,FREN,120,100,3,French for Beginners,D200,TUT,24,BURNABY,2,0.2,0.0,0.2,22,92%,8%,,REG,1224,6
04-Jul,ARTS,FREN,120,100,3,French for Beginners,D300,TUT,24,BURNABY,5,0.5,0.0,0.5,19,79%,21%,,REG,1224,6
04-Jul,ARTS,FREN,121,100,3,Introductory Fren I,D100,TUT,24,BURNABY,1,0.1,0.0,0.1,23,96%,4%,,REG,1224,6
04-Jul,ARTS,FREN,122,100,3,Intro.French II,D100,TUT,24,BURNABY,2,0.2,0.0,0.2,22,92%,8%,,REG,1221,4
04-Jul,ARTS,FREN,210,200,3,Intermed.French I,D200,TUT,24,BURNABY,1,0.1,0.0,0.1,23,96%,4%,,REG,1221,4
04-Jul,ARTS,FREN,211,200,3,Intermediate Fren II,D100,TUT,24,BURNABY,5,0.5,0.0,0.5,19,79%,21%,,REG,1221,4
04-Jul,ARTS,FREN,212,200,3,Fren.for Immer.Prgm.Students,F100,TUT,17,BURNABY,1,0.1,0.0,0.1,16,94%,6%,,REG,1217,2
04-Jul,ARTS,FREN,215,200,3,Intermed.French Oral Prac.,D100,TUT,24,BURNABY,1,0.1,0.0,0.1,23,96%,4%,,REG,1217,3
04-Jul,ARTS,FREN,221,200,3,French Writing I,D100,TUT,24,BURNABY,4,0.4,0.0,0.4,20,83%,17%,,REG,1224,6
04-Jul,ARTS,FREN,221,200,3,French Writing I,F100,TUT,19,BURNABY,1,0.1,0.0,0.1,18,95%,5%,,REG,1224,6
04-Jul,ARTS,FREN,245,200,3,Intro. to Literary Studies,D100,LEC,25,BURNABY,4,0.4,0.0,0.4,21,84%,16%,,REG,1224,6
04-Jul,ARTS,FREN,275,200,3,French Linguistics Today,B100,LEC,25,BURNABY,7,0.7,0.0,0.7,18,72%,28%,,REG,1221,4
04-Jul,ARTS,FREN,301W,300,3,Advanced Writing,D100,TUT,25,BURNABY,2,0.2,0.0,0.2,23,92%,8%,,REG,1221,4
04-Jul,ARTS,FREN,333,300,3,The Magic of French Words,B100,LEC,25,BURNABY,3,0.3,0.0,0.3,22,88%,12%,,REG,1197,Not taught in last 2 yrs
04-Jul,ARTS,FREN,344,300,3,Survey of French Literature,D100,LEC,21,BURNABY,3,0.3,0.0,0.3,18,86%,14%,,REG,1217,2
