course,term,year,prereqs
acma 210,spring,2021,MATH 152; or MATH 155 or MATH 158 with a grade of at least B.
acma 320,spring,2021,STAT 285 and ACMA 210.
acma 336,spring,2021,Students must apply and receive permission from the co-op coordinator at least one but preferably two terms in advance. They will normally be required to have completed 45 units with a GPA of 2.50 before they may take this practicum course.
acma 337,spring,2021,ACMA 336 or Job Practicum I from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 340,spring,2021,ACMA 210 and STAT 285.
acma 360w,spring,2021,ACMA 320.
acma 436,spring,2021,ACMA 337 or Job Practicum II from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 437,spring,2021,ACMA 436 or Job Practicum III from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 438,spring,2021,ACMA 437 or Job Practicum IV from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 455,spring,2021,ACMA 320 and ACMA 355.
acma 490,spring,2021,Dependent on the topic covered.
acma 820,spring,2021,ACMA 320.
acma 850,spring,2021,
als 610,spring,2021,
als 615,spring,2021,
als 620,spring,2021,
apma 930,spring,2021,
apma 990,spring,2021,
apma 995,spring,2021,Applied Mathematics PhD stream students only. Must be completed within first six terms of the program.
arab 100,spring,2021,
arch 100,spring,2021,
arch 101,spring,2021,
arch 105,spring,2021,
arch 131,spring,2021,
arch 226,spring,2021,
arch 273,spring,2021,"ARCH 100, 101, or 201."
arch 301,spring,2021,45 credit hours.
arch 313,spring,2021,"One of the following courses: ARCH 100, ARCH 201, HS 100, HS 231, HS 232, HS/HIST 277 or by permission of the instructor."
arch 322,spring,2021,ARCH 131.
arch 323,spring,2021,ARCH 131 or any lower division biology course.
arch 331,spring,2021,"ARCH 272W or 273 or by permission of instructor. Other prerequisites may be required, but will vary according to topic."
arch 340,spring,2021,ARCH 101 or ARCH 201.
arch 344,spring,2021,ARCH 131 or any lower division biology course.
arch 350,spring,2021,Acceptance in the Environment Co-operative Education Program.
arch 351,spring,2021,ARCH 350 and readmission to the Environment Co-operative Education Program.
arch 376,spring,2021,"ARCH 101 or ARCH 201, and any one of ARCH 285, GEOG 251, PSYC 210, STAT 101, STAT 201, STAT 203, or STAT 205."
arch 383,spring,2021,"ARCH 101, ARCH 131, or 201."
arch 386,spring,2021,ARCH 101 or ARCH 201.
arch 428,spring,2021,ARCH 388 (previously ARCH 438) or GEOG 317 or GEOG 318.
arch 442,spring,2021,ARCH 373.
arch 450,spring,2021,ARCH 351 and readmission to the Environment Co-operative Education Program.
arch 451,spring,2021,ARCH 450 and readmission to the Environment Co-operative Education Program.
arch 471w,spring,2021,"ARCH 101, 131, 201, 272W and 273."
arch 479,spring,2021,"45 credit hours, including ARCH 372, and permission of the department."
arch 480,spring,2021,"45 credit hours, including ARCH 372, and permission of the department."
arch 485,spring,2021,ARCH 372.
arch 498,spring,2021,Permission of the department.
arch 499,spring,2021,Permission of the department.
arch 551,spring,2021,Enrollment in the MA or Certificate in HRM.
arch 561,spring,2021,Enrollment in the MA or Certificate in HRM.
arch 591,spring,2021,"10 units, consent of supervising faculty member, and approval of the director of the HRM program."
arch 872,spring,2021,
arch 873,spring,2021,
arch 874,spring,2021,Only available to students in the Archaeology PhD program.
arch 875,spring,2021,Only available to students in the Archaeology PhD program.
arch 876,spring,2021,
arch 892,spring,2021,
arch 893,spring,2021,
arch 896,spring,2021,
arch 898,spring,2021,
arch 899,spring,2021,
bisc 101,spring,2021,"High school Biology 12 (or equivalent) with a C grade or better, or BISC 100 with C- or better, or BISC 113 with C+ or better, or HSCI 100 with C+ or better; and High school Chemistry 12 (or equivalent) with a C grade or better, or CHEM 111 with a C- or better."
bisc 102,spring,2021,"High school biology 12 (or equivalent) with a C grade or better, or BISC 100 with C- or better, or BISC 113 with C+ or better, or HSCI 100 with C+ or better."
bisc 113,spring,2021,"Recommended: Students with a C or better in Biology 12, who are considering a BISC major, are encouraged to proceed directly to BISC 101 and 102."
bisc 202,spring,2021,BISC 101 and 102 with a grade of C- or better.
bisc 204,spring,2021,BISC 101 and 102 with a grade of C- or better.
bisc 298,spring,2021,
bisc 300,spring,2021,BISC 202 with a grade of C- or better. Recommended: BISC 204.
bisc 302w,spring,2021,BISC 202 with a grade of C- or better.
bisc 309,spring,2021,BISC 204 with a grade of C- or better.
bisc 313,spring,2021,"BISC 101 and one of BISC 204, GEOG 
215, or MBB 231; all with a grade of C- or better."
bisc 317,spring,2021,BISC 101 and 102 with a grade of C- or better.
bisc 318,spring,2021,"BISC 101 and 102, and 204 or HSCI 212 with a grade of C- or better and completion of 60 units. Recommended: BISC 300 and 306."
bisc 333,spring,2021,"BISC 202, MBB 222, MBB 231 with a grade of C- or better."
bisc 337,spring,2021,BISC 101 and 102 with a grade of C- or better.
bisc 341,spring,2021,Acceptance in the Biological Sciences Co-operative Education Program.
bisc 342,spring,2021,BISC 341 and readmission to the Science Co-op Education Program.
bisc 366,spring,2021,BISC 205 and MBB 231 with a grade of C- or better.
bisc 371,spring,2021,A minimum of 45 units.
bisc 405,spring,2021,BISC 205 or BPK 205 and MBB 231 with a grade of C- or better.
bisc 406,spring,2021,BISC 306 or BISC 316 with a grade of C- or better.
bisc 423,spring,2021,"BISC 101, BISC 102, BISC 202, MBB 222, MBB 231; all with a grade of C- or better. Recommended: BISC 333 or MBB 331."
bisc 428,spring,2021,"BISC 101, BISC 102, MBB 222 and MBB 231, all with a minimum grade of C-."
bisc 443,spring,2021,BISC 342 and readmission to the Science Co-op Education Program.
bisc 444,spring,2021,BISC 443 and re-admission to the science co-operative education program.
bisc 446,spring,2021,BISC 444 and readmission to the Science Co-op Education Program.
bisc 472,spring,2021,To be announced.
bisc 474,spring,2021,To be announced.
bisc 490,spring,2021,"Completion of all lower division biological sciences courses, plus upper division BISC courses appropriate to the subject of the intended research as determined by the departmental undergraduate curriculum committee; completion of all physics, chemistry and mathematics requirements for the major or honours program."
bisc 491,spring,2021,"Completion of all lower division biological sciences courses, plus upper division BISC courses appropriate to the subject of the intended research as determined by the departmental undergraduate curriculum committee; completion of all physics, chemistry and mathematics requirements for the major or honours program; at the time of application, students will normally have a CGPA of 3.00 (B standing). Corequisite: BISC 490 and 492."
bisc 492w,spring,2021,"Completion of all lower division biological sciences courses, plus upper division BISC courses appropriate to the subject of the intended research as determined by the departmental undergraduate curriculum committee; completion of all physics, chemistry and mathematics requirements for the major or honours program; at the time of application, students will normally have a CGPA of 3.00 (B standing). Corequisite: BISC 490 and BISC 491."
bisc 497w,spring,2021,"Completion of lower division course
requirements."
bisc 498,spring,2021,Completion of lower division course requirements.
bisc 499,spring,2021,Completion of lower division course requirements.
bisc 652,spring,2021,BISC 313 or permission of the department.
bisc 654,spring,2021,BISC 313 or equivalent.
bisc 655,spring,2021,
bisc 656,spring,2021,Acceptance into the environmental toxicology program.
bisc 657,spring,2021,Permission of the department.
bisc 658,spring,2021,Permission of the department.
bisc 831,spring,2021,
bisc 832,spring,2021,
bisc 833,spring,2021,
bisc 838,spring,2021,
bisc 844,spring,2021,
bisc 849,spring,2021,
bisc 879,spring,2021,
bisc 888,spring,2021,
bisc 889,spring,2021,
bisc 890,spring,2021,
bisc 892,spring,2021,
bisc 898,spring,2021,
bisc 899,spring,2021,
bpk 105,spring,2021,"Recommended: Grade 11 Biology, Chemistry and Physics."
bpk 110,spring,2021,
bpk 140,spring,2021,
bpk 141,spring,2021,
bpk 142,spring,2021,"One of Grade 12 Anatomy and Physiology, Biology, Chemistry or Physics with a grade of C or better; or one of BPK 105, BPK 110, BPK 143, BISC 100, BISC 113 or HSCI 100 with a grade of C or better."
bpk 143,spring,2021,Recommended: Medical clearance from a personal physician.
bpk 201,spring,2021,"MATH 150, 151 or 154, MATH 152 or 155 (may be taken concurrently), PHYS 101 (or 120 or 125 or 140), BPK 142."
bpk 205,spring,2021,"BISC 101, CHEM 281, PHYS 101 and 102."
bpk 207,spring,2021,BPK 142 or permission of instructor.
bpk 208,spring,2021,
bpk 241,spring,2021,BPK 142.
bpk 303,spring,2021,"BPK 201, BPK 241 and STAT 201 or an equivalent statistics course."
bpk 304w,spring,2021,"BPK 142, 201, 205, and STAT 201."
bpk 305,spring,2021,"BPK 205, MBB 231 (or 201), MATH 155 (or 152). Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 (or 152) plus permission of the instructor."
bpk 306,spring,2021,"BPK 207. Corequisite: BPK 305. Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 (or 152) plus permission of the instructor."
bpk 307,spring,2021,"BPK 305. Corequisite: BPK 306; however, students who took BPK 306 prior to Fall 2017, cannot take this course. Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 or 152 plus permission of the instructor."
bpk 310,spring,2021,"BPK 205, MBB 201 (or 231). Recommended: BPK 201."
bpk 311,spring,2021,"BPK 105 or 205, and 110."
bpk 326,spring,2021,"Admission to the major or honours program in Behavioural Neuroscience or Biomedical Physiology or Kinesiology. BPK 142, 201, 205 and at least 60 units. Behavioral Neuroscience Major and Honours students require BPK 142, 205, PSYC 280 and at least 60 units."
bpk 336,spring,2021,"One of BPK 325, 326, BISC 305, 316."
bpk 340,spring,2021,"BPK 142, STAT 201 (or PSYC 201). Recommended: BPK 140."
bpk 342,spring,2021,"BPK 105 (or 205), 142 and 143."
bpk 343,spring,2021,"BPK 142, 143 and 205; STAT 201 or an equivalent statistics course, BPK 340 (may be taken concurrently). Students must successfully complete a Criminal Record Check prior to enrolling."
bpk 351,spring,2021,"Students must complete Bridging Online (visit www.sfu.ca/coop/bol for further details) at least two terms before co-op placement. Students must then apply to the BPK co-op program by Week 1 of the term prior; a minimum of 45 units, BPK 142, plus at least two other BPK courses and have a minimum GPA of 2.50."
bpk 352,spring,2021,BPK 351.
bpk 402,spring,2021,BPK 201.
bpk 408w,spring,2021,STAT 201 and BPK 305 for BPK Majors or BISC 305 for BISC Majors. Enrollment of non-BPK and non-BISC majors require permission of the instructor.
bpk 409,spring,2021,BPK 305 and 306.
bpk 415,spring,2021,BPK 306 or BISC 305.
bpk 417,spring,2021,"BPK 110, 306, 340."
bpk 446,spring,2021,BPK 306. Recommended: BPK 336 and/or BPK 415.
bpk 448,spring,2021,"BPK 201 or 207, and BPK 306, or for biomedical engineering students, BPK 201, 208 and 308."
bpk 451,spring,2021,BPK 352.
bpk 451w,spring,2021,BPK 352.
bpk 452,spring,2021,BPK 451.
bpk 453,spring,2021,BPK 452.
bpk 457,spring,2021,"75 units, with a minimum CGPA of 3.00, PSYC 301 or BPK 304W with a minimum grade of B, and permission from one of the Co-chairs of the Behavioural Neuroscience Program Committee."
bpk 459,spring,2021,A minimum grade of B in BPK 457. Corequisite: Must be enrolled in the Honours Program of the B.Sc. in Behavioural Neuroscience. Students must seek permission from their honours project supervisor to enroll in additional courses at the same time.
bpk 481,spring,2021,BPK 303 and 326.
bpk 482,spring,2021,"BPK 180W, 201, 326, and 381. Corequisite: BPK 481. Students must successfully complete a Criminal Record Check before enrolling."
bpk 491,spring,2021,"90 units, BPK 304W (may be taken concurrently) and permission of the chair of the undergraduate program committee. A minimum grade of B in this course is needed to register in BPK 495 or BPK 499."
bpk 495,spring,2021,BPK 491 (minimum grade of B). Corequisite: BPK 499. Only students in the honours program may enroll in BPK 495.
bpk 496,spring,2021,"BPK 304W (may be taken concurrently) or PSYC 210, and permission from the chair of the undergraduate program committee. Usually, upper level standing with at least 75 units in the Biomedical Physiology and Kinesiology program will be required."
bpk 498,spring,2021,"BPK 304W (may be taken concurrently) or PSYC 210, and permission from the chair of the undergraduate program committee. Usually, upper level standing with at least 75 units in the Biomedical Physiology and Kinesiology program will be required."
bpk 499,spring,2021,BPK 491 (minimum grade of B). Corequisite: BPK 495. Only students in the honours program may enroll in BPK 499.
bpk 805,spring,2021,
bpk 895,spring,2021,
bpk 896,spring,2021,
bpk 897,spring,2021,
bpk 898,spring,2021,
bpk 899,spring,2021,
bus 200,spring,2021,
bus 202,spring,2021,"This course is only open to approved Business Administration majors, joint majors, or second degree students admitted to the faculty through the Business Foundation Program - Transfer Stream."
bus 207,spring,2021,"Econ 103, 105, MATH 157 and 15 units."
bus 217w,spring,2021,"BUS 201 and 15 units; OR 45 units and corequisite: BUS 202; OR Business Administration joint major, joint honours, or double degree students with 45 units; OR Data Science majors with 15 units."
bus 221,spring,2021,
bus 225,spring,2021,
bus 232,spring,2021,"MATH 150, MATH 151, MATH 154, or MATH 157; 15 units. MATH 150, MATH 151, MATH 154, or MATH 157 may be taken concurrently with BUS 232."
bus 233,spring,2021,12 units.
bus 237,spring,2021,12 units.
bus 238,spring,2021,12 units.
bus 251,spring,2021,12 units.
bus 254,spring,2021,BUS 251; 15 units.
bus 272,spring,2021,12 units.
bus 303,spring,2021,45 units.
bus 307,spring,2021,45 units; BUS 207 or ECON 201.
bus 311,spring,2021,"This course is only open to students admitted to the Business Administration Minor between Fall 2012 - Summer 2016 and who have credit for BUS 251 and 45 units, OR to students admitted to the Business Administration Minor Fall 2016 - onwards and who have credit for BUS 251, 45 units, and corequisite BUS 200."
bus 312,spring,2021,"BUS 254 (or 324); 45 units. Recommended: BUS 207, ECON 201, or ECON 301."
bus 314,spring,2021,BUS 238 or BUS 254; 45 units.
bus 315,spring,2021,"BUS 312, BUS 336 and BUS 207 or ECON 201 or ECON 301; 45 units."
bus 316,spring,2021,"BUS 312, 336; 45 units."
bus 320,spring,2021,BUS 254; 45 units.
bus 321,spring,2021,BUS 320; 45 units.
bus 322,spring,2021,"BUS 254, 45 units."
bus 325,spring,2021,
bus 326,spring,2021,
bus 327,spring,2021,
bus 330,spring,2021,
bus 331,spring,2021,"BUS 330 (or BUS 329), 45 units."
bus 336,spring,2021,"MATH 150, MATH 151, MATH 154, or MATH 157; BUS 232 or STAT 270; 45 units."
bus 338,spring,2021,BUS 238 or BUS 254; 45 units.
bus 339,spring,2021,"BUS 238, IAT 330, 45 units; or permission from the instructor."
bus 340,spring,2021,"This course is only open to students admitted to the Business Administration Minor between Fall 2012 - Summer 2016 and who have 45 units, OR to students admitted to the Business Administration Minor Fall 2016 - onwards and who have 45 units, and corequisite BUS 200."
