course,section,term,year,prereq_text,prereq_codes,prereq_unparseable,schedule,instructors,units
MATH 498,D100,fall,2024,,,False,"[{'days': 'Th', 'startTime': '12:30', 'endTime': '14:20', 'campus': 'Burnaby'}]",Amarpreet Rattan,1
CMPT 376W,E100,fall,2024,"CMPT 105W and (CMPT 275 or CMPT 276), with a minimum grade of C-.",CMPT 105W;CMPT 275;CMPT 276,False,"[{'days': 'We', 'startTime': '17:30', 'endTime': '20:20', 'campus': 'Burnaby'}]",Felix Lo,3
CMPT 310,D200,fall,2024,"CMPT 225 and (MACM 101 or (ENSC 251 and ENSC 252)), all with a minimum grade of C-.",CMPT 225;MACM 101;ENSC 251;ENSC 252,False,"[{'days': 'Th', 'startTime': '8:30', 'endTime': '11:20', 'campus': 'Burnaby'}]",Ahmadreza Nezami,3
SEE 290,D200,fall,2024,,,False,"[{'days': 'Mo, Tu, We, Th, Fr', 'startTime': '8:30', 'endTime': '16:30', 'campus': None}]",Tyler Schwartz;Wendy McKay;Stephanie Greaves,3
HSCI 493,D100,fall,2024,HSCI 490 with a minimum grade of C-.,HSCI 490,False,[],Rochelle Tucker,6
INLG 130,A320,fall,2024,Students in the Indigenous Studies program should complete INLG 133 before INLG 130.,INLG 133;INLG 130,False,[],Sally Hart,3
INLG 133,A320,fall,2024,,,False,[],Marlene Tommy,3
INLG 134,A320,fall,2024,INLG (or FNLG) 133.,,False,[],Marlene Tommy,3
INLG 158,A320,fall,2024,,,False,[],Donna Gerdts,3
CMNS 497,D100,fall,2024,Students accepted into honours program only.,,False,[],Chris Jeschelnik,5
CMNS 314,D400,fall,2024,17 CMNS units with a minimum grade of C- or 45 units with a minimum CGPA of 2.00.,,False,"[{'days': 'Th', 'startTime': '14:30', 'endTime': '17:20', 'campus': 'Burnaby'}]",Steven Malcic,4
CMNS 495,D100,fall,2024,CMNS 494.,CMNS 494,False,[],Liesl Jurock,3
CMNS 496,D100,fall,2024,CMNS 495.,CMNS 495,False,[],Liesl Jurock,3
