course,term,year,prereqs
acma 201,spring,2022,"MATH 152 with a minimum grade of C; or MATH 155 or MATH 158, with a grade of at least B."
acma 336,spring,2022,Students must apply and receive permission from the co-op coordinator at least one but preferably two terms in advance. They will normally be required to have completed 45 units with a GPA of 2.50 before they may take this practicum course.
acma 337,spring,2022,ACMA 336 or Job Practicum I from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 340,spring,2022,"ACMA 201 (or 210), with a minimum grade of C. Corequisite: STAT 285."
acma 401,spring,2022,"ACMA 301 (or 320), with a minimum grade of C."
acma 436,spring,2022,ACMA 337 or Job Practicum II from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 437,spring,2022,ACMA 436 or Job Practicum III from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 438,spring,2022,ACMA 437 or Job Practicum IV from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 455,spring,2022,ACMA 355 with a minimum grade of C.
acma 470,spring,2022,
acma 831,spring,2022,
acma 832,spring,2022,
als 610,spring,2022,
als 615,spring,2022,
als 620,spring,2022,
apma 905,spring,2022,
apma 935,spring,2022,
apma 990,spring,2022,
apma 995,spring,2022,Applied Mathematics PhD stream students only. Must be completed within first six terms of the program.
arab 100,spring,2022,
arch 100,spring,2022,
arch 101,spring,2022,
arch 131,spring,2022,
arch 226,spring,2022,
arch 273,spring,2022,"ARCH 100, 101, or 201."
arch 285,spring,2022,12 units.
arch 301,spring,2022,45 credit hours.
arch 313,spring,2022,"One of the following courses: ARCH 100, ARCH 201, HS 100, HS 231, HS 232, HS/HIST 277 or by permission of the instructor."
arch 322,spring,2022,ARCH 131.
arch 340,spring,2022,ARCH 101 or ARCH 201.
arch 344,spring,2022,ARCH 131 or any lower division biology course.
arch 350,spring,2022,Acceptance in the Environment Co-operative Education Program.
arch 351,spring,2022,ARCH 350 and readmission to the Environment Co-operative Education Program.
arch 376,spring,2022,"ARCH 101 or ARCH 201, and any one of ARCH 285, GEOG 251, PSYC 210, STAT 101, STAT 201, STAT 203, or STAT 205."
arch 377,spring,2022,"ARCH 101 or ARCH 201, and one lower division ARCH course."
arch 383,spring,2022,"Any lower division ARCH, BISC, BPK, CHEM, CRIM or HSCI course."
arch 386,spring,2022,ARCH 101 or ARCH 201.
arch 390,spring,2022,ARCH 101 or ARCH 201 and either ARCH 272/272W or 273.
arch 450,spring,2022,ARCH 351 and readmission to the Environment Co-operative Education Program.
arch 451,spring,2022,ARCH 450 and readmission to the Environment Co-operative Education Program.
arch 452,spring,2022,"ARCH 373 or HSCI 321, HSCI 324, BPK 303, BPK 324, BPK 325, BPK 326. ARCH 373 is recommended."
arch 471w,spring,2022,"ARCH 101, 131, 201, 272W and 273."
arch 479,spring,2022,"45 units, including ARCH 282 or 372, and permission of the department."
arch 480,spring,2022,"45 units, including ARCH 282 or 372, and permission of the department."
arch 498,spring,2022,Permission of the department.
arch 499,spring,2022,Permission of the department.
arch 551,spring,2022,Enrollment in the MA or Certificate in HRM.
arch 561,spring,2022,Enrollment in the MA or Certificate in HRM.
arch 591,spring,2022,"10 units, consent of supervising faculty member, and approval of the director of the HRM program."
arch 872,spring,2022,
arch 873,spring,2022,
arch 874,spring,2022,Only available to students in the Archaeology PhD program.
arch 875,spring,2022,Only available to students in the Archaeology PhD program.
arch 876,spring,2022,
arch 892,spring,2022,
arch 893,spring,2022,
arch 896,spring,2022,
arch 898,spring,2022,
arch 899,spring,2022,
bisc 101,spring,2022,"High school Biology 12 (or equivalent) with a C grade or better, or BISC 100 with C- or better, or BISC 113 with C+ or better, or HSCI 100 with C+ or better; and High school Chemistry 12 (or equivalent) with a C grade or better, or CHEM 111 with a C- or better."
bisc 102,spring,2022,"High school biology 12 (or equivalent) with a C grade or better, or BISC 100 with C- or better, or BISC 113 with C+ or better, or HSCI 100 with C+ or better."
bisc 113,spring,2022,"Recommended: Students with a C or better in Biology 12, who are considering a BISC major, are encouraged to proceed directly to BISC 101 and 102."
bisc 202,spring,2022,BISC 101 and 102 with a grade of C- or better.
bisc 204,spring,2022,BISC 101 and 102 with a grade of C- or better.
bisc 298,spring,2022,
