course,term,year,prereqs
bisc 656,spring,2024,Acceptance into the environmental toxicology program.
bisc 805,spring,2024,
bisc 831,spring,2024,
bisc 832,spring,2024,
bisc 833,spring,2024,
bisc 849,spring,2024,
bisc 859,spring,2024,
bisc 879,spring,2024,
bisc 888,spring,2024,
bisc 889,spring,2024,
bisc 890,spring,2024,
bisc 892,spring,2024,
bisc 898,spring,2024,
bisc 899,spring,2024,
bpk 105,spring,2024,"Recommended: Grade 11 Biology, Chemistry and Physics."
bpk 110,spring,2024,
bpk 140,spring,2024,
bpk 142,spring,2024,"One of Grade 12 Anatomy and Physiology, Biology, Chemistry or Physics with a grade of C or better; or one of BPK 105, BPK 110, BPK 143, BISC 100, BISC 113 or HSCI 100 with a grade of C or better."
bpk 143,spring,2024,Recommended: Medical clearance from a personal physician.
bpk 201,spring,2024,"MATH 150, 151 or 154, MATH 152 or 155 (may be taken concurrently), PHYS 101 (or 120 or 125 or 140), BPK 142."
bpk 205,spring,2024,"BISC 101, CHEM 281, PHYS 101 and 102."
bpk 207,spring,2024,BPK 142 or permission of instructor.
bpk 208,spring,2024,
bpk 241,spring,2024,BPK 142.
bpk 303,spring,2024,"BPK 201, BPK 241 and STAT 201 or an equivalent statistics course."
bpk 305,spring,2024,"BPK 205, MBB 231 (or 201), MATH 155 (or 152). Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 (or 152) plus permission of the instructor."
bpk 306,spring,2024,"BPK 207. Corequisite: BPK 305. Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 (or 152) plus permission of the instructor."
bpk 307,spring,2024,"BPK 305. Corequisite: BPK 306; however, students who took BPK 306 prior to Fall 2017, cannot take this course. Majors from outside BPK require BPK 205 (or BISC 305), MBB 231 (or 201), MATH 155 or 152 plus permission of the instructor."
bpk 310,spring,2024,"BPK 205, MBB 201 (or 231). Recommended: BPK 201."
bpk 311,spring,2024,"BPK 105 or 205, and 110."
bpk 312,spring,2024,"BPK 105 (or 205), and 110."
bpk 325,spring,2024,BPK 142 and either BPK 105 (with a grade of C or higher) or BPK 205.
bpk 326,spring,2024,"Admission to the major or honours program in Behavioural Neuroscience or Biomedical Physiology or Kinesiology. BPK 142, 201, 205 and at least 60 units. Behavioral Neuroscience Major and Honours students require BPK 142, 205, PSYC 280 and at least 60 units."
bpk 340,spring,2024,"BPK 142, STAT 201 (or PSYC 201). Recommended: BPK 140."
bpk 342,spring,2024,"BPK 105 (or 205), 142 and 143."
bpk 343,spring,2024,"BPK 142, 143 and 205; STAT 201 or an equivalent statistics course, BPK 340 (may be taken concurrently). Students must successfully complete a Criminal Record Check prior to enrolling."
bpk 351,spring,2024,"Students must complete Bridging Online (visit www.sfu.ca/coop/bol for further details) at least two terms before co-op placement. Students must then apply to the BPK co-op program by Week 1 of the term prior; a minimum of 45 units, BPK 142, plus at least two other BPK courses and have a minimum GPA of 2.50."
bpk 352,spring,2024,BPK 351.
bpk 401,spring,2024,"90 credits, BPK 201 and 205, or BPK 208."
bpk 407,spring,2024,BPK 305 and 306.
bpk 417,spring,2024,"BPK 306, 340. Recommended: BPK 110."
bpk 423,spring,2024,To be announced in the Undergraduate Schedule of Classes and Examinations found at go.sfu.ca.
bpk 443,spring,2024,"BPK 304W, 310 and 343 (one of which may be taken as a corequisite)."
bpk 444,spring,2024,"BPK 305. Recommended: BPK 110, 306, 310 and 343."
bpk 446,spring,2024,BPK 306. Recommended: BPK 336 and/or BPK 415.
bpk 448,spring,2024,"BPK 201 or 207, and BPK 306, or for biomedical engineering students, BPK 201 and 208."
bpk 451,spring,2024,BPK 352.
bpk 452,spring,2024,BPK 451.
bpk 453,spring,2024,BPK 452.
bpk 457,spring,2024,"75 units, with a minimum CGPA of 3.00, PSYC 301 or BPK 304W with a minimum grade of B, and permission from one of the Co-chairs of the Behavioural Neuroscience Program Committee."
bpk 459,spring,2024,A minimum grade of B in BPK 457. Corequisite: Must be enrolled in the Honours Program of the B.Sc. in Behavioural Neuroscience. Students must seek permission from their honours project supervisor to enroll in additional courses at the same time.
bpk 481,spring,2024,BPK 303 and 326.
bpk 482,spring,2024,"BPK 180W, 201, 326, and 381. Corequisite: BPK 481. Students must successfully complete a Criminal Record Check before enrolling."
bpk 491,spring,2024,"90 units, BPK 304W (may be taken concurrently) and permission of the chair of the undergraduate program committee. A minimum grade of B in this course is needed to register in BPK 495 or BPK 499."
bpk 495,spring,2024,BPK 491 (minimum grade of B). Corequisite: BPK 499. Only students in the honours program may enroll in BPK 495.
bpk 496,spring,2024,"BPK 304W (may be taken concurrently) or PSYC 210, and permission from the chair of the undergraduate program committee. Usually, upper level standing with at least 75 units in the Biomedical Physiology and Kinesiology program will be required."
bpk 498,spring,2024,"BPK 304W (may be taken concurrently) or PSYC 210, and permission from the chair of the undergraduate program committee. Usually, upper level standing with at least 75 units in the Biomedical Physiology and Kinesiology program will be required."
bpk 499,spring,2024,BPK 491 (minimum grade of B). Corequisite: BPK 495. Only students in the honours program may enroll in BPK 499.
bpk 805,spring,2024,
bpk 806,spring,2024,
bpk 895,spring,2024,
bpk 896,spring,2024,
bpk 897,spring,2024,
bpk 898,spring,2024,
bpk 899,spring,2024,
bus 100,spring,2024,This course is only open to approved business administration majors admitted to the faculty through the BBA major - highschool or transfer stream in Fall 2022 and onward.
bus 200,spring,2024,
bus 202,spring,2024,"This course is only open to approved business administration majors, joint majors, or second degree students admitted to the faculty through the Business Foundation Program - Transfer Stream. Corequisite: BUS 100 with a P grade."
bus 207,spring,2024,"ECON 103 or ECON 113, ECON 105 or ECON 115, MATH 157, all with a minimum grade of C-; 15 units."
bus 221,spring,2024,
bus 225,spring,2024,
bus 232,spring,2024,
bus 233,spring,2024,12 units.
bus 237,spring,2024,12 units.
bus 238,spring,2024,12 units.
bus 240,spring,2024,12 units.
bus 251,spring,2024,12 units.
bus 254,spring,2024,BUS 251 with a minimum grade of C-; 15 units.
bus 272,spring,2024,12 units.
bus 275,spring,2024,12 units.
bus 300,spring,2024,"This course is only open to approved business administration majors admitted to the faculty in Fall 2022 and onward, BUS 100 with a P grade and BUS 217W with a minimum grade of C-; 45 units. Recommendation to take with BUS 360W."
bus 303,spring,2024,45 units.
