course,term,year,prereqs
acma 201,summer,2025,"MATH 152 with a minimum grade of C; or MATH 155 or MATH 158, with a grade of at least B."
acma 336,summer,2025,Students must apply and receive permission from the co-op coordinator at least one but preferably two terms in advance. They will normally be required to have completed 45 units with a GPA of 2.50 before they may take this practicum course.
acma 337,summer,2025,ACMA 336 or Job Practicum I from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 436,summer,2025,ACMA 337 or Job Practicum II from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 437,summer,2025,ACMA 436 or Job Practicum III from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 438,summer,2025,ACMA 437 or Job Practicum IV from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
als 603,summer,2025,
als 612,summer,2025,
apma 995,summer,2025,Applied Mathematics PhD stream students only. Must be completed within first six terms of the program.
arch 100,summer,2025,
arch 101,summer,2025,
arch 131,summer,2025,
arch 226,summer,2025,
arch 282,summer,2025,ARCH 101 or ARCH 201.
arch 286,summer,2025,"30 units including one of ARCH 100, ARCH 101, ARCH 201, EVSC 100, GEOG 100, or REM 100."
arch 301,summer,2025,45 credit hours.
arch 322,summer,2025,ARCH 131.
arch 390,summer,2025,ARCH 101 or ARCH 201 and either ARCH 272/272W or 273.
arch 433,summer,2025,ARCH 282 or 372 and permission of the department. Normally taken concurrently with ARCH 434 and 435.
arch 434,summer,2025,ARCH 282 or 372 and permission of the department. Normally taken concurrently with ARCH 433 and 435.
arch 435,summer,2025,ARCH 282 or 372 and permission of the department. Normally taken concurrently with ARCH 433 and 434.
arch 479,summer,2025,"45 units, including ARCH 282 or 372, and permission of the department."
arch 480,summer,2025,"45 units, including ARCH 282 or 372, and permission of the department."
arch 498,summer,2025,Permission of the department.
arch 499,summer,2025,Permission of the department.
arch 591,summer,2025,"10 units, consent of supervising faculty member, and approval of the director of the HRM program."
arch 874,summer,2025,Only available to students in the Archaeology PhD program.
arch 875,summer,2025,Only available to students in the Archaeology PhD program.
arch 892,summer,2025,
arch 893,summer,2025,
arch 894,summer,2025,
arch 895,summer,2025,
arch 896,summer,2025,
arch 898,summer,2025,
arch 899,summer,2025,
bisc 101,summer,2025,"Biology 12 (or equivalent) with a minimum grade of C (or BISC 100 with a minimum grade of C-, or BISC 113 with a minimum grade of C+, or BPK 105 with a minimum grade of C+, or HSCI 100 with a minimum grade of C+); and Chemistry 12 (or equivalent) with a minimum grade of C (or CHEM 111 with a minimum grade of C-)."
bisc 102,summer,2025,"Biology 12 (or equivalent) with a minimum grade of C (or BISC 100 with a minimum grade of C-, or BISC 113 with a minimum grade of C+, or BPK 105 with a minimum grade of C+, or HSCI 100 with a minimum grade of C+)."
bisc 113,summer,2025,
bisc 202,summer,2025,"BISC 101 and 102, both with a minimum grade of C-."
bisc 298,summer,2025,
bisc 300,summer,2025,BISC 202 with a minimum grade of C-. Recommended: BISC 204.
bisc 303,summer,2025,"BISC 102, MBB 222, and MBB 231, all with a minimum grade of C-."
bisc 316,summer,2025,"BISC 101 and 102, both with a minimum grade of C-."
bisc 333,summer,2025,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-."
bisc 341,summer,2025,Acceptance in the Biological Sciences Co-operative Education Program.
bisc 342,summer,2025,BISC 341 and readmission to the Science Co-op Education Program.
bisc 428,summer,2025,"BISC 101, BISC 102, MBB 222, and MBB 231, all with a minimum grade of C-."
bisc 443,summer,2025,BISC 342 and readmission to the Science Co-op Education Program.
bisc 444,summer,2025,BISC 443 and re-admission to the science co-operative education program.
bisc 446,summer,2025,BISC 444 and readmission to the Science Co-op Education Program.
bisc 490,summer,2025,"Completion of all lower division biological sciences courses, plus upper division BISC courses appropriate to the subject of the intended research as determined by the departmental undergraduate curriculum committee; completion of all physics, chemistry and mathematics requirements for the major or honours program."
bisc 491,summer,2025,"Completion of all lower division biological sciences courses, plus upper division BISC courses appropriate to the subject of the intended research as determined by the departmental undergraduate curriculum committee; completion of all physics, chemistry and mathematics requirements for the major or honours program; at the time of application, students will normally have a CGPA of 3.00 (B standing). Corequisite: BISC 490 and 492."
bisc 492w,summer,2025,"Completion of all lower division biological sciences courses, plus upper division BISC courses appropriate to the subject of the intended research as determined by the departmental undergraduate curriculum committee; completion of all physics, chemistry and mathematics requirements for the major or honours program; at the time of application, students will normally have a CGPA of 3.00 (B standing). Corequisite: BISC 490 and BISC 491."
bisc 497w,summer,2025,"Completion of lower division course
requirements."
bisc 498,summer,2025,Completion of lower division course requirements.
bisc 499,summer,2025,Completion of lower division course requirements.
bisc 656,summer,2025,Acceptance into the environmental toxicology program.
bisc 849,summer,2025,
bisc 888,summer,2025,
bisc 889,summer,2025,
bisc 890,summer,2025,
bisc 892,summer,2025,
bisc 898,summer,2025,
bisc 899,summer,2025,
bpk 105,summer,2025,"Recommended: Grade 11 Biology, Chemistry and Physics."
bpk 110,summer,2025,
bpk 140,summer,2025,
bpk 142,summer,2025,"One of Grade 12 Anatomy and Physiology, Biology, Chemistry or Physics with a grade of B or better; or one of BPK 105, BPK 110, BPK 143, BISC 100, BISC 113 or HSCI 100 with a grade of C or better."
bpk 241,summer,2025,BPK 142.
bpk 304w,summer,2025,"BPK 142, STAT 201 and two of BPK 201, 205 and 207."
bpk 310,summer,2025,"BPK 205, MBB 201 (or 231). Recommended: BPK 201."
bpk 326,summer,2025,"Admission to the major or honours program in Behavioural Neuroscience or Biomedical Physiology or Kinesiology. BPK 142, 201, 205 and at least 60 units. Behavioral Neuroscience Major and Honours students require BPK 142, 205, PSYC 280 and at least 60 units."
bpk 340,summer,2025,"BPK 142, STAT 201 (or PSYC 201). Recommended: BPK 140."
bpk 351,summer,2025,"Students must complete Bridging Online (visit www.sfu.ca/coop/bol for further details) at least two terms before co-op placement. Students must then apply to the BPK co-op program by Week 1 of the term prior; a minimum of 45 units, BPK 142, plus at least two other BPK courses and have a minimum GPA of 2.50."
bpk 352,summer,2025,BPK 351.
bpk 375,summer,2025,"BPK 105 or 205, and 142."
bpk 407,summer,2025,"BPK 304W, 305 and 306."
bpk 451,summer,2025,BPK 352.
bpk 451w,summer,2025,BPK 352.
bpk 452,summer,2025,BPK 451.
bpk 453,summer,2025,BPK 452.
bpk 457,summer,2025,"75 units, with a minimum CGPA of 3.00, PSYC 301 or BPK 304W with a minimum grade of B, and permission from one of the Co-chairs of the Behavioural Neuroscience Program Committee."
bpk 459,summer,2025,A minimum grade of B in BPK 457. Corequisite: Must be enrolled in the Honours Program of the B.Sc. in Behavioural Neuroscience. Students must seek permission from their honours project supervisor to enroll in additional courses at the same time.
bpk 491,summer,2025,"90 units, BPK 304W (may be taken concurrently) and permission of the chair of the undergraduate program committee. A minimum grade of B in this course is needed to register in BPK 495 or BPK 499."
bpk 495,summer,2025,BPK 491 (minimum grade of B). Corequisite: BPK 499. Only students in the honours program may enroll in BPK 495.
bpk 496,summer,2025,"BPK 304W (may be taken concurrently) or PSYC 210, and permission from the chair of the undergraduate program committee. Usually, upper level standing with at least 75 units in the Biomedical Physiology and Kinesiology program will be required."
bpk 498,summer,2025,"BPK 304W (may be taken concurrently) or PSYC 210, and permission from the chair of the undergraduate program committee. Usually, upper level standing with at least 75 units in the Biomedical Physiology and Kinesiology program will be required."
bpk 499,summer,2025,BPK 491 (minimum grade of B). Corequisite: BPK 495. Only students in the honours program may enroll in BPK 499.
bpk 805,summer,2025,
bpk 895,summer,2025,
bpk 896,summer,2025,
bpk 897,summer,2025,
bpk 898,summer,2025,
bpk 899,summer,2025,
bus 200,summer,2025,
bus 207,summer,2025,"ECON 103 or ECON 113, ECON 105 or ECON 115, MATH 157, all with a minimum grade of C-; 15 units."
bus 217w,summer,2025,"BUS 201 with a minimum grade of C- and 15 units; OR 45 units and corequisite: BUS 202; OR business administration joint major, joint honours, or double degree students with 45 units; OR data science students with 15 units; OR actuarial science students with 15 units."
bus 225,summer,2025,
bus 232,summer,2025,
bus 233,summer,2025,12 units.
bus 237,summer,2025,12 units.
bus 240,summer,2025,12 units.
bus 251,summer,2025,12 units.
bus 254,summer,2025,BUS 251 with a minimum grade of C-; 15 units.
bus 272,summer,2025,12 units.
bus 275,summer,2025,12 units.
bus 300,summer,2025,"This course is only open to approved business administration majors admitted to the faculty in Fall 2022 and onward. BUS 100 or BUS 203, with a P grade and BUS 217W with a minimum grade of C-; 45 units. Recommendation to take with BUS 360W."
bus 303,summer,2025,45 units.
bus 311,summer,2025,"This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have credit for BUS 251 with a minimum grade of C- and 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have credit for BUS 251 with a minimum grade of C-, 45 units, and corequisite: BUS 200."
bus 312,summer,2025,BUS 254 with a minimum grade of C- and 45 units; OR actuarial science students with BUS 254 with a minimum grade of C- and 45 units. Recommended: BUS 207 or ECON 201.
bus 315,summer,2025,"BUS 312, BUS 336 and (BUS 207 or ECON 201), all with a minimum grade of C- and 45 units; OR actuarial science students with STAT 285 and BUS 312, both with a minimum grade of C- and 45 units."
bus 316,summer,2025,"BUS 312 and BUS 336, both with a minimum grade of C- and 45 units; OR actuarial science students with STAT 285 and BUS 312, both with a minimum grade of C- and 45 units."
bus 320,summer,2025,BUS 251 with a minimum grade of C-; 45 units.
bus 321,summer,2025,BUS 320 with a minimum grade of C-; 45 units.
bus 322,summer,2025,"BUS 254 with a minimum grade of C-, 45 units."
bus 325,summer,2025,
bus 326,summer,2025,
bus 327,summer,2025,
bus 330,summer,2025,
bus 331,summer,2025,"BUS 330 (or BUS 329) with a minimum grade of C-, 45 units."
bus 336,summer,2025,"MATH 150, MATH 151, MATH 154, or MATH 157, with a minimum grade of C-; BUS 232, ECON 233, STAT 270, or STAT 271, with a minimum grade of C-; 45 units."
bus 340,summer,2025,"This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have 45 units, and corequisite: BUS 200."
bus 341,summer,2025,"This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have 45 units, and corequisite: BUS 200."
bus 343,summer,2025,45 units.
bus 345,summer,2025,"BUS 232 or ECON 233 or STAT 270 or STAT 271, and BUS 343, both with a minimum grade of C- and 45 units; OR data science majors with BUS 343 with a minimum grade of C- and 45 units."
bus 346,summer,2025,45 units.
bus 347,summer,2025,BUS 343 with a minimum grade of C-; 45 units.
bus 360w,summer,2025,"This course is open to students admitted prior to Fall 2014 to the business administration major, honours, or second degree program and who have 45 units, OR to students admitted Fall 2014 - Summer 2017 to the business administration major, honours, or second degree program and who have 45 units and BUS 130 or (BUS 201 or BUS 202) or BUS 301, with a minimum grade of C-, OR to students admitted Fall 2017 – Summer 2022 to the business administration major, honours, or second degree program and who have 45 units and BUS 130 or (BUS 201 or BUS 202) or BUS 301, and BUS 217W, both with a minimum grade of C-, OR to students admitted Fall 2022 onwards to the business administration major, honours, or second degree program, and who have 45 units; BUS 217W and (BUS 201 or BUS 202), both with a minimum grade of C-; and BUS 300, OR to business administration joint major or joint honours students with BUS 217W with a minimum grade of C- and 45 units, OR to business and economics joint major students with ECON 220W with a minimum grade of C- and 45 units, OR to mechatronic systems engineering and business administration double degree students with 45 units, OR to management systems science or actuarial science majors with 45 units OR to data science major with BUS 217W with a minimum grade of C- and 45 units."
bus 361,summer,2025,45 units.
bus 362,summer,2025,BUS 237 with a minimum grade of C-; 45 units; OR Data Science majors with 45 units.
bus 373,summer,2025,"BUS 232, ECON 233, STAT 270, or STAT 271, with a minimum grade of C-; 45 units."
bus 381,summer,2025,BUS 272 with a minimum grade of C-; 45 units.
bus 393,summer,2025,45 units.
bus 401,summer,2025,"BUS 311 (or BUS 254 and BUS 312), BUS 340, BUS 341, all with a minimum grade of C-; 60 units. The course is only open to students in the business minor program."
bus 410,summer,2025,"BUS 315, 316, 360W, all with a minimum grade of C-; 60 units."
bus 411,summer,2025,"BUS 315 and BUS 360W, both with a minimum grade of C-; 60 units."
bus 413,summer,2025,"BUS 312, BUS 315, and BUS 360W, all with a minimum grade of C-; 60 units."
bus 417,summer,2025,"BUS 315, 360W, both with a minimum grade of C-; 60 units."
bus 418,summer,2025,"BUS 315, 316, 360W, all with a minimum grade of C-; 60 units."
bus 420,summer,2025,"BUS 321, 360W, both with a minimum grade of C-; 60 units."
bus 421,summer,2025,"BUS 321 and BUS 360W, both with a minimum grade of C-; 60 units."
bus 424,summer,2025,"BUS 322 and BUS 360W, both with a minimum grade of C-; 60 units."
bus 425,summer,2025,
bus 426,summer,2025,"BUS 321, 360W, both with a minimum grade of C-; 60 units."
