Date,Faculty,Subject,CatNbr,Level,Credit,Course Title,Sect,Type,MaxEnrol,Location,ActEnrol,NonCoopAFTE,CoopAFTE,TotAFTE,SeatsRemaining,%CapRemaining,%Filled,Status,CrsFlag,LastSemTaught5Yrs,#SemTaught2Yrs
04-Jul,SCI,MBB,308,300,3,Molecular Biology Laboratory,D100,LEC,90,BURNABY,12,1.2,0.0,1.2,78,87%,13%,,REG,1234,5
04-Jul,SCI,MBB,309W,300,4,Biochemistry Laboratory,D100,LEC,96,BURNABY,12,1.6,0.0,1.6,84,88%,13%,,REG,1231,4
04-Jul,SCI,MBB,321,300,3,Intermediary Metabolism,D100,LEC,75,BURNABY,16,1.6,0.0,1.6,59,79%,21%,,REG,1231,5
04-Jul,SCI,MBB,322,300,3,Molecular Physiology,D100,LEC,92,BURNABY,13,1.3,0.0,1.3,79,86%,14%,,REG,1231,4
04-Jul,SCI,MBB,323,300,3,Physical Biochem.,D100,LEC,35,BURNABY,1,0.1,0.0,0.1,34,97%,3%,,REG,1231,2
04-Jul,SCI,MBB,324,300,3,Protein Biochemistry,D100,LEC,75,BURNABY,6,0.6,0.0,0.6,69,92%,8%,,REG,1227,3
04-Jul,SCI,MBB,326,300,3,Introductory Immunology,D100,LEC,50,BURNABY,3,0.3,0.0,0.3,47,94%,6%,,REG,1234,5
04-Jul,SCI,MBB,328,300,3,Intro Microbial Pathogenesis,D100,LEC,50,BURNABY,4,0.4,0.0,0.4,46,92%,8%,,REG,1231,3
04-Jul,SCI,MBB,331,300,4,Molecular Biology,D100,LEC,100,BURNABY,15,2.0,0.0,2.0,85,85%,15%,,REG,1234,6
04-Jul,SCI,MBB,342,300,3,Introductory Genomics & Bioinf,D100,LEC,50,BURNABY,3,0.3,0.0,0.3,47,94%,6%,,REG,1231,4
04-Jul,SCI,MBB,420,400,3,Select.Topics/Contemp.Bich,D100,LEC,80,BURNABY,10,1.0,0.0,1.0,70,88%,13%,,REG,1227,2
04-Jul,SCI,MBB,422,400,3,Biomembranes,D100,LEC,60,BURNABY,2,0.2,0.0,0.2,58,97%,3%,,REG,1224,1
04-Jul,SCI,MBB,427,400,3,Immune Resp. in Hlth & Disease,D100,LEC,50,BURNABY,8,0.8,0.0,0.8,42,84%,16%,,REG,1231,2
04-Jul,SCI,MBB,441,400,3,Bioinformatics,D100,LEC,53,BURNABY,2,0.2,0.0,0.2,51,96%,4%,,REG,1231,2
04-Jul,SCI,MBB,445,400,3,Adv. Microbial Pathogenesis,D100,LEC,70,BURNABY,1,0.1,0.0,0.1,69,99%,1%,,REG,Not taught in last 5 yrs,Not taught in last 2 yrs
04-Jul,SCI,MBB,447,400,3,Stem Cells - Current Trends,D100,LEC,39,BURNABY,3,0.3,0.0,0.3,36,92%,8%,,REG,Not taught in last 5 yrs,Not taught in last 2 yrs
04-Jul,SCI,NUSC,341,300,3,Radiochemistry,D100,LEC,50,BURNABY,2,0.2,0.0,0.2,48,96%,4%,,REG,1227,2
04-Jul,SCI,NUSC,344,300,3,Nucleosynthesis,D100,LEC,30,BURNABY,2,0.2,0.0,0.2,28,93%,7%,,REG,1227,1
04-Jul,SCI,PHYS,100,100,3,Introduction to Physics,D100,LEC,330,BURNABY,20,2.0,0.0,2.0,310,94%,6%,,REG,1234,6
04-Jul,SCI,PHYS,100,100,3,Introduction to Physics,D200,LEC,72,SURREY,1,0.1,0.0,0.1,71,99%,1%,,REG,1234,6
04-Jul,SCI,PHYS,101,100,3,Physics for Life Sciences I,D100,LEC,306,BURNABY,19,1.9,0.0,1.9,287,94%,6%,,REG,1234,6
04-Jul,SCI,PHYS,102,100,3,Physics for Life Sciences II,D100,LEC,252,BURNABY,22,2.2,0.0,2.2,230,91%,9%,,REG,1234,6
04-Jul,SCI,PHYS,102,100,3,Physics for Life Sciences II,D200,LEC,54,SURREY,2,0.2,0.0,0.2,52,96%,4%,,REG,1234,6
04-Jul,SCI,PHYS,120,100,3,Mechanics and Modern Physics,D100,LEC,342,BURNABY,3,0.3,0.0,0.3,339,99%,1%,,REG,1231,4
04-Jul,SCI,PHYS,125,100,3,Mechanics/Special Relativity,D100,LEC,54,BURNABY,2,0.2,0.0,0.2,52,96%,4%,,REG,1227,2
04-Jul,SCI,PHYS,132,100,1,Physics Laboratory I,LA01,LAB,108,BURNABY,3,0.1,0.0,0.1,105,97%,3%,,REG,1231,4
04-Jul,SCI,PHYS,140,100,4,Mechanics and Modern Physics,D200,LEC,72,SURREY,3,0.4,0.0,0.4,69,96%,4%,,REG,1227,2
04-Jul,SCI,PHYS,190,100,3,Intro to Astronomy,D100,LEC,252,BURNABY,19,1.9,0.0,1.9,233,92%,8%,,REG,1231,4
04-Jul,SCI,PHYS,201,200,1,Physics Undergrad Seminar,D100,SEM,54,BURNABY,3,0.1,0.0,0.1,51,94%,6%,,REG,1231,4
04-Jul,SCI,PHYS,233,200,3,Physics Laboratory III,LA01,LAB,40,BURNABY,1,0.1,0.0,0.1,39,98%,3%,,REG,1227,2
04-Jul,SCI,PHYS,233,200,3,Physics Laboratory III,LA02,LAB,34,BURNABY,1,0.1,0.0,0.1,33,97%,3%,,REG,1227,2
04-Jul,SCI,PHYS,255,200,3,Vibrations and Waves,D100,LEC,63,BURNABY,3,0.3,0.0,0.3,60,95%,5%,,REG,1227,2
04-Jul,SCI,PHYS,326,300,4,Electronics/Instrumentation,LA01,LAB,12,BURNABY,1,0.1,0.0,0.1,11,92%,8%,,REG,1227,2
04-Jul,SCI,PHYS,344,300,3,Thermal Physics,D100,LEC,35,BURNABY,4,0.4,0.0,0.4,31,89%,11%,,REG,1227,2
04-Jul,SCI,PHYS,384,300,3,Theoretical Phys I,D100,LEC,34,BURNABY,3,0.3,0.0,0.3,31,91%,9%,,REG,1227,2
04-Jul,SCI,PHYS,385,300,3,Quantum II,D100,LEC,45,BURNABY,5,0.5,0.0,0.5,40,89%,11%,,REG,1227,2
04-Jul,SCI,PHYS,416,400,3,Intro. Quantum Information,D100,LEC,15,BURNABY,1,0.1,0.0,0.1,14,93%,7%,,REG,1221,1
04-Jul,SCI,PHYS,421,400,3,Electromagnetic Waves,D100,LEC,75,BURNABY,2,0.2,0.0,0.2,73,97%,3%,,REG,1227,2
04-Jul,SCI,PHYS,465,400,3,Solid State Physics,D100,LEC,25,BURNABY,2,0.2,0.0,0.2,23,92%,8%,,REG,1227,2
04-Jul,SCI,SCI,300,300,3,Science and Impact on Society,B100,LEC,60,BURNABY,1,0.1,0.0,0.1,59,98%,2%,,REG,1227,2
