course,section,term,year,prereq_text,prereq_codes,prereq_unparseable,schedule,instructors,units
ALS 601,G100,fall,2026,,,False,[],Margaret Hall,4.0
ALS 602,G100,fall,2026,,,False,[],,3.0
ALS 611,G100,fall,2026,,,False,[],,3.0
ALS 630,G100,fall,2026,,,False,[],Graeme Bowbrick,6.0
ALS 631,G100,fall,2026,,,False,"[{'days': 'We', 'startTime': '9:00', 'endTime': '15:50', 'campus': None}]",Margaret Hall,3.0
APMA 920,G100,fall,2026,,,False,"[{'days': 'Tu, Th', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}]",Manfred Trummer,4.0
APMA 940,G100,fall,2026,,,False,"[{'days': 'We, Fr', 'startTime': '10:30', 'endTime': '12:20', 'campus': 'Burnaby'}]",Paul Tupper,4.0
APMA 995,G100,fall,2026,Applied Mathematics PhD stream students only. Must be completed within first six terms of the program.,,False,[],,
ARCH 100,OL01,fall,2026,,,False,[],Gregory Morrissey,3.0
ARCH 101,D100,fall,2026,,,False,"[{'days': 'Mo', 'startTime': '14:30', 'endTime': '17:20', 'campus': 'Burnaby'}]",Brea McCauley,3.0
ARCH 101,OL01,fall,2026,,,False,[],Gregory Morrissey,3.0
ARCH 131,D100,fall,2026,,,False,"[{'days': 'We', 'startTime': '14:30', 'endTime': '17:20', 'campus': 'Burnaby'}]",Dennis Sandgathe,3.0
ARCH 131,OL01,fall,2026,,,False,[],Dennis Sandgathe,3.0
ARCH 200,D100,fall,2026,30 units.,,False,"[{'days': 'Tu', 'startTime': '10:30', 'endTime': '12:20', 'campus': 'Burnaby'}, {'days': 'Fr', 'startTime': '10:30', 'endTime': '11:20', 'campus': 'Burnaby'}]",Sabrina Higgins,3.0
ARCH 226,OL01,fall,2026,,,False,[],Brea McCauley,3.0
ARCH 271,D100,fall,2026,ARCH 101 or ARCH 201.,ARCH 101;ARCH 201,False,"[{'days': 'We', 'startTime': '14:30', 'endTime': '17:20', 'campus': 'Burnaby'}]",Bob Muir,3.0
ARCH 272W,D100,fall,2026,"ARCH 100, 101, or 201.",ARCH 100,False,"[{'days': 'Mo', 'startTime': '12:30', 'endTime': '14:20', 'campus': 'Burnaby'}]",Dennis Sandgathe,4.0
ARCH 272W,D101,fall,2026,"ARCH 100, 101, or 201.",ARCH 100,False,"[{'days': 'Tu', 'startTime': '9:30', 'endTime': '11:20', 'campus': 'Burnaby'}]",,4.0
ARCH 272W,D102,fall,2026,"ARCH 100, 101, or 201.",ARCH 100,False,"[{'days': 'Tu', 'startTime': '12:30', 'endTime': '14:20', 'campus': 'Burnaby'}]",,4.0
ARCH 301,OL01,fall,2026,45 credit hours.,,False,[],Bob Muir,3.0
ARCH 332,D100,fall,2026,30 units.,,False,"[{'days': 'Tu', 'startTime': '14:30', 'endTime': '17:20', 'campus': 'Burnaby'}]",Cara Tremain;Sabrina Higgins,3.0
ARCH 340,D100,fall,2026,ARCH 101 or ARCH 201.,ARCH 101;ARCH 201,False,"[{'days': 'Mo', 'startTime': '14:30', 'endTime': '17:20', 'campus': 'Burnaby'}]",Christine Conlan,5.0
