name,department,rating,num_ratings,would_take_again_percent,difficulty,courses
Aaron Windel,History,3.4,57,48.6486,3.3,FASS101; HIS215; HIST106; HIST11; HIST111; HIST135; HIST215; HIST314; HIST362; HIST3XX; HIST415; HIST438W; HIST463W; HIST486WWI; HISTORY415
Shannon Zaitsoff,Psychology,3.7,68,74.4186,2.8,PSYC241; PSYC371; PSYC441; PSYCH241
Suzana Dragicevic,Geography,3.3,37,60,3.2,CARTOG; GEOG351; GEOG352; GEOG451; GOEG351
Karen Kurytnik,Education,5,8,100,2.8,EDUC322; EDUC323; EDUC464
Clifford Atleo,Resource Management,4.8,4,100,2.3,REM-207
Jeff Sugarman,Education,3.9,133,57.1429,3.3,EDU220; EDU327; EDUC220; EDUC327
Yiwen Liu,Social Science,2.3,3,33.3333,4,GA302
Emily Ip,Art amp Design,2.7,24,41.6667,3.6,IAT102; IAT110
Scott Pai,Statistics,2.6,280,25.6757,3.7,201; 203; STA201; STAT201; STAT203; STAT270; STAT285; STAT305; STATSTAT
Gretchen Ferguson,Geography,3.5,19,63.1579,2.3,GEO383; GEOG100
Brianne Kent,Psychology,4.3,8,87.5,3.5,PSYC325
Suki Badh,Economics,2.7,163,83.3333,3.5,102; 210; ADS222; ECON; ECON103; ECON105; ECON1101; ECON200; ECON201; ECON210; ECON2350; ECON3; ECON301; ECONO101; ECONOMIC210; ECONOMICS210; EONOMICS105
Sarah Ganter,Communication,3.3,12,58.3333,3.8,CMNS230; CMNS333; CMNS437
Christine Leanne Johnson,Publishing  Printing,2,5,20,2.4,PUB375; PUBL1118
Steven Bergner,Computer Science,1.8,40,20,3.4,CMPT310; CMPT353; CMPT410; CMPT726
Stephen Wright,Psychology,4.3,72,86.3636,2.6,PSYC260; PSYC330; PSYC363; PSYCD100; PSYCH260; PSYCH363; SOCIA260
Michael Chen,Physics,3.5,170,75,2.8,100; PHY100; PHY101; PHYS100; PHYS101; PHYS121
Nicky Didicher,English,3.1,25,52,3.5,ENG112; ENG212; ENGL112; ENGL112W; ENGL212; ENGL387
John Reynolds,Biology,2.6,18,33.3333,3.9,BISC102
Rosie Dhaliwal,Social Science,2.5,4,25,3.3,FASS207
Mark Ting,Art,4.6,19,89.4737,2.3,FASS208; FASS225
Andrew Sixsmith,Gerontology,3.8,4,100,1.5,GERO101
Evan Caldbick,Psychology,4.5,96,85.4167,3.2,PSYC100; PSYC201W; PSYC280; PSYC325; PSYC381; PSYC382; PSYC383
