name,department,rating,num_ratings,would_take_again_percent,difficulty,courses
Stephen Collis,English,4.1,83,87.5,2.7,ENG; ENG100; ENG101; ENG102; ENG112; ENG300; ENG338; ENG349; ENG355; ENGL102; ENGL107; ENGL111; ENGL112; ENGL112W; ENGL202; ENGL205; ENGL347; ENGL349; ENGL372; ENGL374; ENGL397; ENGL418W; ENGL472; ENGL474; ENGLISH327; ENGLISHPOETRY; FASS101; POETRY100LEVE
Michael Schmitt,Psychology,4,62,70.5882,2.1,PSCY363; PSY366; PSYC363; PSYC366; PSYC391; PSYCH363; PSYCH366; PSYCPSYC
Joanna Niezen,Mathematics,3.9,33,73.5294,3.6,MATH292; Math150; Math190
Cory Ahn,Mathematics,4.3,28,88.4615,3.2,FANX99; MATH100; MATH151; MATH152; MATH157
Rhonda Arab,English,3.6,15,50,2.5,ENG103; ENG103W; ENG203; ENG311; ENGL103; ENGL113W; ENGL203; ENGL204; ENGL311
Troy Boucher,Psychology,4.8,8,77.7778,3.3,PSYC201W; PSYC391
Alexandra Coates,Biomedical Physiology & Kinesiology,4,6,66.6667,4.2,BPK205
Nabyl Merbouh,Chemistry,3.6,185,49.4845,3.8,CHEM281; CHEM281L; CHEM282; CHEM283; CHEM286; CHEM380
Dave Ng,Biomedical Physiology & Kinesiology,3,21,61.9048,3.8,BPK110; BPK142
Bohdan Nosyk,Health Science,2.1,20,43.75,4.7,HSCI372; HSCI416; HSCI471; HSCI484
Hoi-Kwan (Kero) Lau,Physics,1,15,0,4.7,Phys-121
Wendi Palmer,Education,1,14,0,5,EDUC400; EDUC401; EDUC403; EDUC405
Deniz Anginer,Finance,4.6,8,100,3.1,BUS315; BUS418
Akash Rattan,Business Administration,1.6,5,20,4.2,BUS254; BUS321; BUS424
Himchan Jeong,Statistics,5,3,100,2.7,ACMA201; ACMA231; RISK421
Mohammad Soltanshah,Engineering,5,2,100,3,CMPT310; ENSC204
Nicolas Bommarito,Philosophy,4.6,23,91.3043,1.9,PHIL150; PHIL322; PHIL342; PHIL357; PHIL421W
Amanda Butler,Criminology,3.8,13,77.7778,3.1,131; CRIM131; CRIM241; Crim346; crim101
Andrei Bulatov,Mathematics,3.3,148,71.7172,3.6,CMPT210; CMPT307; CMPT308; CMPT404; CMPT409; MACM101
Wei Becky Lin,Statistics,4.3,125,85.7143,2.6,STAT100; STAT201; STAT203; STAT270; STAT271; STAT302
Toby Donaldson,Computer Science,3.5,72,67.7966,2.9,CMPT120; CMPT125; CMPT135; CMPT225; CMPT310; CMPT383
NICHOLAS VINCENT,Computer Science,4.9,69,97.1429,2.1,cmpt120; cmpt419
Nadine Wicks,Biomedical Physiology  Kinesiology,4.1,66,80.303,3.7,BISC405; BPK140; BPK205; BPK306; BPK307; BPK408W; SCI140
Jamie Mullholand,Mathematics,4.8,46,95.5556,2.9,MACM201; MATH150; MATH151; MATH152; MATH232; MATH251; math155
Jorge Calderon,French,2.5,33,29.4118,3.2,FR3XXX; FREN230; FREN245; FREN340; FREN360; FREN430; FREN444; FREN452; FREN472; FRENFREN
Christian Guilbault,Languages,3.4,25,60,3.3,270; FREN; FREN270; FREN275; FREN331; FREN424; FREN425; FRENXXX
Sheena  Tan,Education,4.4,14,93.3333,3,EDUC211; MATH190; Math151
Tao Wang,Computer Science,2.6,14,46.6667,3.9,cmpt276; cmpt479
Anas Atakora,French,4.8,12,100,1.9,FREN101; FREN300
Laurence Gauvreau,French,2.8,6,50,3.5,FREN112; FREN122; FREN301; MODL1102
Jiguo Cao,Statistics,3.9,6,0,2.3,DATA180; STAT285
Jianliang Wu,Computer Science,2,6,16.6667,4.2,CMPT403; CMPT789
Zahra Borghei,Business Administration,2,3,25,3.7,BUS275; BUS321
Claudette Lauzon,Art,1,2,33.3333,4.5,CA118
Rupak Shrestha ,International Studies,5,2,66.6667,2.5,IS230
Shivanand Balram,Geography,3.7,152,54.878,3.1,GEO150; GEOG150; GEOG151; GEOG251; GEOG253; GEOG255; GEOG355
James Busumtwi-Sam,Political Science,3.8,101,45.8333,3.2,346; DEVS201; DEVS401; IOIR1111; PL448; POL342; POL344; POL345; POL346; POL374; POL448; POLANY; POLI100
Jane Friesen,Economics,2.7,95,58.3333,3.2,BUEC280; ECON103; ECON280; ECON381; ECON435; ECON838
Neil Watson,Psychology,3.9,74,74.1935,3.7,PSYC280; PSYC381; PSYCH280
John-Henry Harter,History,4.1,68,62.5,2.7,HIS101; HIST101; HIST102W; HIST327; HIST424; LBST101; LBST301; LBST301W; LBST311; LBST330
Darren Fleet,Communication,3.5,20,60,3.3,CMNS130; CMNS316; CMNS323; cmns110
Cecile Vigouroux,French,3.6,44,53.3333,3.4,FRE330; FRE370; FREN275; FREN330; FREN332; FREN370; FREN420; FREN423; FREN452; FREN4XX; FREN800; FRENFREN; FRENLING; FRENXXX; FRLINLING; LING100; LINGFREN
Claudia Gomez,Business Administration,2.1,37,26.3158,3.2,BUS341; BUS343; BUS443; BUS447
Michel Virgilio,Mathematics,4,8,77.7778,2.5,MATH1130; MATH1140; MATH157; MATH251; MATH310
Gopolang  Mohlabeng,Physics,2,7,37.5,3.9,PHYS313; Phys-126
John Bechhoefer,Physics,1.6,4,0,4.5,PHYS211; PHYS231; PHYS234
Robert Britton,Chemistry,4.1,140,79.1045,3.4,CHEM280; CHEM281; CHEM455
Vijay Singh,Mathematics,3.5,79,69.697,3,MACM316; MATH1152; MATH130; MATH151; MATH152; MATH152251; MATH157; MATH242; MATH251; MATH260; MATH342; MMT100
David Whitehurst,Health Science,3.7,57,64.2857,2.7,HSCI206; HSCI310
Dylan Cooke,Biomedical Physiology amp Kinesiology,1.3,49,5.8824,4.7,BPK207; BPK423
Yueh Li,Molecular Biology & Biochemistry,4.4,20,80.9524,2.3,MBB222; MBB324
Rebecca Cobb,Psychology,2.3,97,16.9231,3.7,362; INTERPERSONALR; PSCY362; PSYC362; PSYC367; PSYC462
Martin Andresen,Criminology,2.7,70,24,3.7,CRIM101; CRIM320; CRIM350; CRIM352
Nancy Forde,Physics,2.2,61,19.2308,4,PHYS102; PHYS132
Cheng Li,Engineering,1.7,28,10.3448,4.2,ENSC-151
Sevda Sattari,Business Administration,5,5,100,2.6,BUS345
Michael  Hamilton,Chemistry,0,0,100,0,122
Amy Conroy,Criminology,2.2,241,31.405,4.1,CRIM135; CRIM230; CRIM330; CRIM331; CRIM332
Clare McGovern,Political Science,3.3,85,56.9767,3.7,POL121; POL151; POL221; POL330; POL332; POL421; POL421W; POL428
Gherardo Caracciolo,Business Administration,3.8,81,67.0732,3.4,BUS312; BUS313; BUS412
Niall MacKenzie,Humanities,3.5,72,53.5714,3.3,101W; 407W; ENG100; ENG101W; ENG111W; ENG199W; ENG410; ENGL101; ENGL101W; ENGL111W; ENGL199W; ENGL304; ENGL359; ENGL410; GSWS204; HIST106; HIST404; HIST444; HUM; HUM101; HUM130; HUM202; HUM330; HUM340
Arne Eigenfeldt,Music,2.8,57,27.7778,3.3,CA140; CA142; CA386; CMNS147; FPA140; FPA147; FPA247; FPA289; FPA345
Kent Williams,Business Administration,2.1,32,27.2727,4,BUS275; BUS489; BUS716
Agnes Macdonald,Sociology,2.2,17,23.5294,3.6,SA150; SA302; SA304; SA350
Cleusa Yamamoto,Business Administration,3.9,14,73.3333,2.9,BUS232
Tsoghik Grigoryan,Education,4.9,7,100,3.1,EDUC240; EDUC322; FALX99
Kevin Laughren,Economics,2.9,25,50,3.9,ECON201; ECON220W; ECON342; ECON383; ECON455W; ECON484
Farouk Abdul-Salam Salam,Business Administration,1,2,33.3333,2,BUS346
Ouldooz Karimi,Computer Science,2,101,23.7624,3.5,CMPT354; CMPT371; CMPT454; CMPT471; CMPT474; CMPT756
Erika Plettner,Chemistry,2,78,27.2727,4.4,CHEM; CHEM282; CHEM380; CHEM452; SCI300
Masahiro Minami,Education,4.8,12,100,2.1,EDUC324; EDUC423
Matthew Sigal,Psychology,2.5,113,40.3509,3.9,21O; PSYC210; PSYC301
Yue Wang,Languages,2.9,33,50,2.8,410; LING100; LING130; LING290; LING330; LING415; LINQUISTICS130
Paul Garfinkel,History,4.4,139,86.0465,3.2,225; H225; HIS225; HIST106; HIST224; HIST225; HIST391; HIST433; HIST433W; HIST445; HIST4XX; HUM-106; HUM-321W; HUM-350; HUM333W; HUM335; HUM360
Michael Johnson,Business Administration,4.4,81,66.6667,2.6,336; BUEC232; BUS336; BUS706; COMM651
Sara Graves,Business Administration,3.2,47,57.4468,3.2,BUS275; BUS303; BUS374; BUS660; BUS716
Julian Guttman,Biology,3.7,35,76.4706,3.2,BISC303; BISC428
Suzanne Hilgendorf,Linguistics,2.8,34,17.6471,3.1,GERM102; GERM103; GERM201; LING160; LING200; LING2111; LING309; LING309W; LING410
Sarah Rosengard,Science,5,7,87.5,2.4,EVSC100; EVSC195
Tasnim Abedalqader,Linguistics,1,1,0,3,LING160
Ingrid Northwood,Microbiology,3.7,139,80.7692,2.9,HSCI326; MBB; MBB221; MBB231; MBB321; MBB326
Peter Leavitt,Psychology,4.8,98,95.9596,2.2,100; 102; 201; 300W
David Muraki,Mathematics,2.4,93,42.4242,4.3,316; APMA900; MACM316; MAT251; MATH251; MATH302; MATH314; MATH322; MATH418; MATH462; MATH495
JF Williams,Mathematics,2.9,82,54.902,3.9,232; MACM202; MACM204; MATH130; MATH155; MATH232; MATH251; MATH475; Macm316
Ahmad Bisher,Business Administration,3.3,50,56.8627,3.4,BUS237
Katrina Honigs,Mathematics,3.9,49,70,3.2,MATH441; Math157; math240
Nicolas Fillion,Philosophy,3.6,80,50.6329,3.8,PHIL110; PHIL310; PHIL314; PHIL341; PHIL451W
vaibhav saria,Gender Studies,4,3,75,3,GSWS-332; GSWS212
Lakshman (Lucky) One,Engineering,2.8,113,36.5854,3.7,440; ENSC; ENSC150; ENSC252; ENSC316; ENSC350; ENSC416; ENSC425; ENSC426; ENSC440; XXX
Hasina Samji,Health Science,2.6,9,30,3.6,HSCI300; HSCI330; HSCI432; HSCI802
Ilya Vinkovetsky,History,3.6,67,54.5455,3.3,224; HIST106; HIST224; HIST225; HIST334; HIST335; HIST419; HIST420; HIST4XX; HISTHIST; HST225
Rajiv Kozhikode,International Business,4,25,66.6667,3.5,BUS374; BUS430
Uzair Azmat,Business Administration,2.9,24,58.3333,3.9,BUS207; BUS410
Susan Bubra.,Business Administration,1.4,40,12.1951,4.5,BUS251; BUS254; BUS311; BUS322; BUS330
Anushay Malik,Labor Studies,4.4,40,87.8049,3.1,472W; GA101; HIS243; HIST130; HIST130W; HIST243; HIST252; HIST358; HIST472W; IS101; IS265; LBST201
Trevor Block,Linguistics,5,34,100,2.9,LING100; LING200; LING220; LING280; LING282; LING301W; LING323; LING324; LING350; LING400
Elizabeth Elle,Biology,3.4,34,77.7778,3.6,BIO102; BISC; BISC102; BISC360W; BISC400; BISC404; BISCSECT; ECOLOGY
Brad Bart,Computer Science,3,419,40.0943,4.1,CMPT210; CMPT307; MACA101; MACM101
Peter Dickinson,English,3.4,68,16.6667,3.1,103W; ENG; ENG103; ENG103W; ENG113W; ENG368; ENG399; ENG468; ENGL103; ENGL103W; ENGL3; ENGL357; ENGL368CDE; ENGL376; ENGL380; ENGL382; ENGL399; ENGL468W; ca135
Sabine Betts,Physics,4,18,80,2.7,ILSA101; PHY140; PHYS102; PHYS140
Hamideh Shokoohian,Business Administration,3,21,50,3.6,BUS232; BUS336; BUS373
Diana Bedoya,Kinesiology,4,186,66.3551,3.1,110; BPK110; BPK140; BPK326; BPK340; BPK417
Medha Kumar,Business Administration,1,1,0,5,BUS272; BUS374
Steven  Adang ,Business Administration,5,1,50,3,BUS417
Stephen Choi,Mathematics,3.7,197,77.2727,2.6,MATH154; MATH155; MATH157; MATH240; MATH242; MATH254; MATH260; MATH322; MATH342; MATH419; math152
Graeme Bowbrick,Criminology,3.9,192,60.5769,3.6,135; 230; ALS602; ALS620; CRIM135; CRIM230; POL151
Richard Wong,Business Administration,4.7,71,90.2778,3.2,BUS251; BUS254; BUS321; BUS331
Sonja Isberg,Statistics,5,63,100,2.1,STAT100; STAT201; STAT270; STAT271; STAT285; STAT305; STAT485
Kirsten McAllister,Communication,3.2,47,18.1818,3.3,387210; CMNS202; CMNS210; CMNS262; CMNS314; CMNS362; CMNS386; CMNS423; CMNS424; CMNS452; CMNS482; CMNS487; CMS286; COM; FPA412
Jim Carter,Biomedical Physiology  Kinesiology,4.6,11,90.9091,3.5,BPK142
Ali Bhagat,Policy Studies,3.1,9,45.4545,3.7,PLCY100
Ramesh Krishnamurti,Computer Science,2.2,55,19.0476,3.4,CMPT110; CMPT165; CMPT225; CMPT250; CMPT307; CMPT307405; CMPT405; CMPT705; CMPT710; CMPT815; COMP711; MACM; MACM101
Sarah Lubik,Business Administration,4.3,13,80,2.3,BUS238; BUS338; BUS477
Meghan Winters,Health Science,3.2,13,75,2.9,HSCI230; HSCI330; HSCI472
Paul Tupper,Mathematics,3.8,56,84.375,3.1,ALGEB100; APMA940; MATH232; MATH251; MATH309; MATH348; MATH419; MATH470; MATH495; MATHD100; math157
Jiang Ye,Computer Science,2.3,72,32.8125,3.6,CMPT125; CMPT128; CMPT128CMPT150; CMPT130; CMPT135; CMPT150
Bernhard Rabus,Engineering,1.4,25,7.6923,4.6,ENSC220; ENSC316; ENSC461
Reid  Staples,Earth Science,3,18,52.6316,3.7,EASC; EASC202; EASC205; EASC206; EASC301
Amyn Somani,Business Administration,4.7,18,100,2.7,240; 338; BUS238; BUS240; BUS714
Baher  Amouzgar,Engineering,1,2,0,3.5,405
John Bird,History,5,2,100,3.5,HIST326
Sophie Sneddon,Molecular Biology & Biochemistry,4.4,46,78.7234,3.2,MBB110; MBB231; MBB322; MBB331; MBB342; MBB441; MBB462; MBB463; MBB841; mbb326
Darren Francis,Business Administration,4.5,26,88.8889,3.5,BUS217W; BUS360
Mitchi   Kamigaki-Baron ,Linguistics,2.3,4,40,4.3,LING190; LING330
Andy Hoffer,Biomedical Physiology & Kinesiology,3,3,75,3.7,BPK448
Susan Christie-Bell,Business Administration,2.6,117,38.7387,3.5,BUS201; BUS202; BUS217W; BUS300; BUS496
Andrei Balezin,Business Administration,5,2,100,3,BUS343
Natalya Alonso,Business Administration,5,2,100,2.5,BUS272; BUS488
Kangyi Peng,Statistics,3,2,33.3333,3.5,STAT445
Sisi  Zhang,Business Administration,5,1,100,3,BUS315
Yew-Wei Lim,Statistics,4.5,36,0,2.5,STAT201; STATS201; STATS306
Ardeshir Zamani,Business Administration,4.5,23,90.3226,3,BUS346
Sara Doering,Criminology,4.1,14,80,3.7,CRIM000; CRIM104; CRIM320; CRIM413
Spozhmay   Oriya,Psychology,1.8,11,9.0909,3.3,PSYC241
Spozhmay  Oriya,Psychology,3,1,0,1,PSYC241
Kevin Lam,Biology,4.7,157,93.4426,3.3,BIO101; BIO102; BIO202; BISC101; BISC102; BISC202
Rastin Mehri,Humanities,4.8,43,90.9091,2.6,ARAB100; ARAB101; ARAB134; ARAB148; ARAB1OO; LING134; LING190; PERS100; PERS101; PERS104; PERS118; PERS190; WL104W
Shiva Gol Tabaghi,Mathematics,3.1,38,47.619,2.8,EDUC475; FAN99; FANX99; MATH100; MATH105; MATH151; MATH157
Peter Smith,Physics,2,86,14.4928,4.1,ENF100; PHY100; PHYS100; PHYS140; PHYS140141; PHYS141
Jamie Mulholland,Mathematics,4.7,221,90.3226,2.8,150; 151AND152; MACM201; MATH150; MATH151; MATH151MATH152; MATH152; MATH155; MATH251; MCAM201
Arrvindh Shriraman,Computer Science,2.1,189,27.4725,4.4,CMPT295
Gulriz Barkin,Economics,2.5,159,30,3.9,103; 201; ECON103; ECON105; ECON201; ECON260; ECON302; ECON383; econ220
Jeff Sonier,Physics,1.9,119,14.2857,3.7,120; PHY120; PHYS120; PHYS131; PHYS132; PHYS385; PHYS861
Neha Shivhare,Business Administration,2,59,25,3.4,BUS303
Joanne Leow,English,2.6,9,33.3333,3.3,ENGL-112W; ENGL-209; ENGL-362
Angel Kennedy ,Health Science,4.7,7,100,3,HSCI372
Schuyler Pringle,Philosophy,0,0,-1,0,
Martin Santamaria,Economics,4.4,121,87.6033,2.8,ECON103; ECON105; ECON113; ECON115; ECON355W
Diana Lim,Psychology,3.4,97,57.732,3.2,PSYC100; PSYC102; PSYC201W; PSYC280; PSYC383
Christoph Lulfesmann,Economics,2.5,73,36.3636,4,ECON201; ECON301; ECON325; ECON826
Holly Andersen,Philosophy,3.1,63,38.7097,4,PHIL100W; PHIL144; PHIL203; PHIL302; PHIL341; PHIL455
Bruno Guindon,Philosophy,3.9,61,75.4098,3.3,PHIL105; PHIL110; PHIL120; PHIL120W; PHIL221; PHIL326; PHIL467W
Chelsea Rosenthal,Philosophy,4.2,34,88.2353,2.2,PHIL120; PHIL120W; PHIL329; PHIL421W; SDA270
Mahmoudian Fereshteh,Accounting,2.8,32,40.625,3.8,BUS320; BUS322; BUS420
Gregory Lauro,Philosophy,4.7,19,100,2.8,PHIL100W; PHIL110; PHIL201; PHIL315; PHIL345W
Sahar Zaman,Political Science,4.9,13,100,1.9,92531; POL100
Lydia du Bois,Philosophy,2.8,13,38.4615,2.9,HSCI319W; PHIL103; PHIL1103; PHIL302; PHIL332
Justin Tetrault,Criminology,5,7,100,2.1,CRIM101; CRIM319
Tom Loughin,Statistics,3.9,7,71.4286,3,STAT100; STAT285; STAT475
Zara Anwarzai,Philosophy,5,5,100,1.8,COGS100
Nadine Attewell,Women,5,4,100,3,GA-101; GSWS-320
Stephen  Bero,Philosophy,0,0,-1,0,
Kate Tairyan,Health Science,2.8,111,23.1884,2.5,HSCI130; HSCI160; HSCI199; HSCI312; HSCI486; HSCI821
Ryan Allen,Health Science,4.6,87,90.9091,2.7,HSCI204; HSCI304; HSCI340; HSCI424; HSCI471; HSI304
Jason Brown,Religious Studies,4.2,70,81.4286,2.5,HUM130; HUM204; REM471
Laura  Tate,Urban Planning,2.6,40,35,3.6,PLAN100; SD381
Mark Pickup,Political Science,3.1,23,50,3,POL201; POL315; POL318; POL339; POL426W; POLI426
Joao Bastos,Health Science,2.9,14,50,2.4,230
Angelina Polsinelli,Psychology,5,2,100,4,PSYC387
Dai Heide,Philosophy,3.8,101,65.7895,3.6,PHIL100W; PHIL105; PHIL120W; PHIL151; PHIL203; PHIL352; PHIL356; PHIL357; PHIL451W; PHILD100; PHILXX1; XX1
Nessim Tariq,Mathematics,2,60,18.75,3.8,MATH152; MATH157; MATH310; MATHS152; MATHS157
Igor Shinkar,Computer Science,4.2,173,80.9249,3.5,CMPT125; CMPT225
Lauren Rossi,History,3.5,32,62.5,3.8,HIST106; HIST138; HIST232; HIST285; HIST332; HIST338; HIST401; HUM360
Yeung Paul,Education,1.9,22,15,4.1,EDUC101; EDUC323; EDUC324; EDUC328; EDUC422
Lin Zhang,Statistics,5,2,100,3,STAT350
Mel Voulgaris,Education,0,0,100,0,EDUC252
Evan Tiffany,Philosophy,3.8,155,88.5246,3.2,PHIL120; PHIL120W; PHIL329
Sean Zwagerman,English,4.1,66,75.6757,3.1,114W; 475; ENG104; ENG104W; ENG114; ENG114W; ENG199; ENG214; ENG375; ENG3RDYEAR; ENGL101; ENGL104W; ENGL112W; ENGL114; ENGL114W; ENGL144W; ENGL199W; ENGL375
Bruce Lanphear,Health Science,4.4,11,83.3333,3.2,HSCI408; HSCI483
Seda Albayrak,Mathematics,2.6,5,40,3.2,MATH152; MATH232
Inigo Novales-Flamarique,Biology,2.8,40,41.1765,4.2,BIO305; BISC305; BISC425
Daniel Chang,Education,4.6,30,90,2.4,EDU1150; EDUC100; EDUC220; EDUC320; FALX99
Lara Aknin,Psychology,4.2,95,73.5294,2.8,PSYC260; PSYC364; PSYC391
Grant Mowbray,Accounting,3.9,28,71.4286,3.1,BUS251; BUS426
Alireza Noori,Physics,2.3,20,40,3.5,PHYS100
Gustavo Albuquerque,Economics,4.1,7,71.4286,2.6,ECON102; ECON105; ECON355W
Clint Burnham,English,2,66,18.75,4.1,ENG104; ENG454; ENGL115W; ENGL1XX; ENGL272; ENGL2XX; ENGL355; ENGL357; ENGL3XX
John Craig,History,3.6,56,41.6667,3.8,316; ENGREFORMATION; HIST200; HIST215; HIST220; HIST315; HIST338; HIST404; HIST405; HISTENGL; HST105
Maaike Helmus,Criminology,3.3,54,53.7037,3.6,CRIM103; CRIM220; CRIM318; CRIM320; CRIM418
Steve Zillwood,English,4.8,46,96.875,2.4,ENG101; ENG105; ENG112; ENG115; ENG205; ENGL101; ENGL112; ENGL115; ENGL203; ENGL205
Daniel Hooley,Philosophy,3.3,20,40,3.1,BUS303; ENV320; ENV320W; PHIL101
Thomas Spalek,Psychology,3,160,57.1429,3.9,221; 303; COGS221; PHYC221; PSY221; PSYC221; PSYC303; PSYCH221
Alyssa Croft,Psychology,3.3,125,56.8,3.1,PSYC102; PSYC260; PSYC300W
Jeremy Brown,History,4.4,65,81.4815,2.8,HIST225; HIST254; HIST255; HIST366; HIST4; HIST400; HIST464; HIST479; HIST485
Thomas Loughin,Statistics,3.3,36,48.3871,3.6,MSSC180; STAT100; STAT285; STAT305; STAT452; STAT475
Adele  Quigley McBride,Psychology,4.6,25,92,2.7,376; PSYC268
Patricia Somers,Chemistry,4.2,23,78.2609,3.3,CHEM281
Nicolas Kenny,History,2.9,20,46.1538,3.8,HIST102; HIST102W; HIST214; HIST300; HIST372; HIST390; HIST3XX
Maxwell Donelan,Biomedical Physiology & Kinesiology,3.3,9,44.4444,3.2,BPK201
Zhanna Lyubykh,Business Administration,4.4,8,75,1.6,BUS381; BUS485
Jennifer Wong,Criminology,2.8,157,34.4828,3.9,103; 340; CRIM103; CRIM220; CRIM340
Vasyl Golovetskyy,Economics,2.4,109,33.8983,3.1,ECON103; ECON105; ECON291; ECON325; ECON333
Leanne Roderick,Geography,3.2,71,56.338,3,GEOG100; GEOG104; GEOG162; GEOG221
Bertrand Sager,Psychology,3.8,59,64.4068,3.1,PSYC210; PSYC221; PSYC308; PSYC325
Ke Wang,Computer Science,3.3,57,57.1429,2.9,CMPT354; CMPT454; CMPT741; CMPT884
Eugene McCann,Geography,4.5,44,100,3.4,261; 261362; GEO362; GEOG; GEOG161; GEOG261; GEOG362; GEOG362261; GEOG362W; GEOG441; GEOG442; GEOGRAPHY; GOEG442
Milad Parpouchi,Health Science,4.7,38,92.8571,2.5,130; HSCI120; HSCI130; HSCI214; HSCI481
Brendan Murphy,Environmental Science,4.3,36,77.7778,2.9,EVSC100; EVSC305; EVSC460; EVSC495
Juan Ferrer,Science,4.8,16,93.75,1.5,TEKX101
Jeanne Essame,History,2,1,0,4,HIST455W
Megan Barker,Biology,2.4,163,32.9268,4.2,BIO101; BISC101; BISC1O1
Zamir Punja,Science,4.5,152,95.3488,2.6,101; BI101; BIO101; BIOLO101; BISC101; BISC326; BISC328; BISC430; BSCI101
Tianzheng Wang,Computer Science,2.3,58,33.8983,4.5,CMPT300; CMPT454
Halil Erhan,Interactive Media Design,1.8,42,18.4211,4.1,IAT106; IAT233; IAT337; IAT437; IAT452; TECH106
Razvan Fetecau,Mathematics,3.2,31,61.1111,3.7,APMA935; CALC3; CALC999; MATH158; MATH240; MATH251; MATH260; MATH301; MATH303; MATH314; MATH467; MATH495
Daria Ahrensmeier,Physics,3,24,56,3.5,PHYS100; PHYS140; PHYS141; PHYS255
Amirhossein Khameneh,Computer Science,5,6,100,2.3,CMPT225; MACM101
Bing Lu,Geography,3.7,3,66.6667,2.3,GEOG215; GEOG253; GEOG353
Ralf Wittenberg,Mathematics,2.8,171,29.5652,3.5,MACM316; MATH154; MATH155; MATH260; MATH314
Rachel Altman,Statistics,2.1,67,30.8824,4,STAT201; STAT270; STAT302; STAT305; STAT350; stat851
Marie Ouellet,Criminology,4.9,10,100,2.6,CRIM220
Cindy Hansen,Earth Science,3.9,80,63.0769,3.4,EASC101; EASC103; EASC106
Bahareh Assadi,Business Administration,3.3,58,66.1017,3.2,BUS272; BUS381
Barbara Sanders,Statistics,5,2,100,2.5,ACMA832; RISK102
Douglas Allen,Economics,3.6,451,68.4211,4,103; E103; ECO103; ECON103; ECON402; ECON427
Bobby Chan,Computer Science,3.8,154,62.3762,3.2,CMPT120; CMPT213; CMPT218; CMPT272; CMPT276; CMPT372; CMPT470; MACM101; cmpt300
Tamara O'Doherty,Criminology,3.8,108,59.3407,3.7,CRIM135; CRIM230; CRIM302; CRIM317; CRIM335
Andrew Perkins,Geography,4.2,88,82.0225,3,G312; GEO111; GEOG11; GEOG111; GEOG312
Martin Ester,Computer Science,2.7,45,59.2593,3.1,CMPT354; CMPT454; CMPT459; CMPT459454; CMPT741; CMPT884; DATABASES
Nicholas May,History,3.3,39,55,3.5,HIST101W; HIST325; HIST424; HIST498; hist427; hist436
Tamir Moustafa,International Studies,4,32,60,3.4,415; IS101; IS210; IS315; IS415; IS419; IS809
Kevin Douglas,Psychology,4.3,28,94.4444,2.9,PSYC201; PSYC268; PSYC379; PSYC476; PSYCH201; PSYCH379; PSYCHPSYC
Aaron Hoffman,Political Science,4.3,12,84.6154,3.2,POL141; POL349; POL445W
Giuliano Gullotti ,French,4.5,2,100,1,FREN201; FREN300; FREN302
Tony Williams,Biology,3,147,35.8025,3.7,101; BIO101; BISC101; BISC171; BISC455
Christopher Kennedy,Biology,3.6,94,93.3333,3.3,BIO101; BIOL101; BISC0000; BISC101; BISC313; BISC316; MATB24
Brenda Lyshaug,Political Science,3.9,83,57.8947,3.1,IS100; IS101; IS200; IS302; IS329; IS350; IS409; IS429; IS450
Irene Pang,International Studies,2.4,17,27.7778,3.6,IS220; IS300; IS333
Adrian Ivakhiv,Humanities,5,1,100,3,HUM101W
Hannah McGregor,Publishing & Printing,0,0,0,0,PUB222
Vanja (VJ) Terzic,Business Administration,3.5,55,53.5714,2.9,BUS240
Baran Fakhri,Sociology,4.2,52,82.6923,2.7,SA-150; SA150; SA260; SA321; SA366
Ke Li,Computer Science,2.9,21,45.4545,4.5,CMPT410; CMPT419; CMPT726; CMPT983
Angel Chen,Psychology,3,4,25,3.3,PSYC260; PSYC391
Daniel Higginbottom,Physics,4,3,100,2.7,PHYS120
Krishna Pendakur,Economics,3.3,87,87.5,3.2,104; BUEC333; BUECBUEC; ECON104; ECON1123; ECON182; ECON383; ECON836; ECONAABB
Mohammad Tayebi,Computer Science,2.8,49,42,3.6,CMPT120; CMPT354; CMPT782
Eline De Rooij,Political Science,3.5,41,51.8519,2.8,POL100; POL101W; POL121; POL231; POL241; POL310; POL31O; POL338W; POL481; POL490; POLI438
Serdar Kaya,Political Science,3.2,40,44.1176,3.6,IS101; IS210; IS300; IS355; LBST312; POL100; POL241; POL339; POLI1120; POLI1125; S257; SA257; lbst201
Ajay Kalra,Education,2.1,15,37.5,1.5,EDUC240
Shafik Bhalloo,Business Administration,4.6,241,90.4762,2.8,303; 393; BUS233; BUS303; BUS393; BUS483; BUS772
Petr Lisonek,Mathematics,3,128,54.5455,3.2,MACM201; MACM203; MACM204; MATH154; MATH155
Victor Cheung,Computer Science,2.4,118,41.1765,3.9,CMPT120; CMPT125; CMPT225; CMPT263; CMPT363; MACM101
Eric Tung,Business Administration,4.6,68,89.1304,3.5,BUS360; BUS360W
David Vocadlo,Chemistry,4.5,40,92.6829,3.2,1629; CHEM281
Eirini Kotsovili,Humanities,4,39,71.4286,3.4,332; GRK100; GRK291; GSWS318; GSWS319; GSWS321; HS303; HUM102; HUM209; HUM240; HUM309; HUM318; HUM319; HUM332; HUM360; HUM385; SFU; WL203; WL303
Glenn Chapman,Engineering,3,33,61.1111,3.1,CLASS; ENG850; ENSC220; ENSC435; ENSC460; ENSC470; ENSC495; ENSC851; ensc477
Sherryl Bisgrove,Biology,4.3,28,82.3529,3,BISC326; BISC333; BISC498; MBB221; MBB231
